route_id,label,gu,distance_m,cctv_count,street_light_count,cctv_coverage_pct,street_light_coverage_pct,has_police_station,nearest_police_distance_m,cctv_average_gap_m,street_light_average_gap_m,cctv_density_penalty,cctv_coverage_penalty,street_light_penalty,police_penalty,total_penalty,safety_score
1111011000_04,1,서울특별시 종로구,304.5,15,0,100.0,0.0,True,226.9,20.3,,0,0,45,0,45,78
1111011200_03,1,서울특별시 종로구,210.8,8,1,60.0,12.5,True,144.1,26.4,210.8,0,4,45,0,49,76
1111014900_01,1,서울특별시 종로구,482.5,30,0,90.0,0.0,False,,16.1,,0,0,45,20,65,68
1111016800_04,1,서울특별시 종로구,133.3,15,0,100.0,0.0,False,433.5,8.9,,0,0,45,20,65,68
1111016900_01,1,서울특별시 종로구,247.9,13,0,80.0,0.0,True,162.7,19.1,,0,0,45,0,45,78
1111017300_03,1,서울특별시 종로구,387.5,21,0,62.5,0.0,False,425.8,18.5,,0,4,45,20,69,66
1111017300_07,1,서울특별시 종로구,506.2,34,0,100.0,0.0,True,188.4,14.9,,0,0,45,0,45,78
1111017400_02,1,서울특별시 종로구,206.1,12,0,100.0,0.0,True,167.7,17.2,,0,0,45,0,45,78
1111017400_06,1,서울특별시 종로구,395.1,12,0,75.0,0.0,True,119.7,32.9,,0,4,45,0,49,76
1111017400_08,1,서울특별시 종로구,278.6,16,0,83.3,0.0,True,274.9,17.4,,0,0,45,0,45,78
1111017400_09,1,서울특별시 종로구,354.3,14,0,87.5,0.0,True,204.6,25.3,,0,0,45,0,45,78
1111017500_05,1,서울특별시 종로구,265.6,25,0,100.0,0.0,True,217.5,10.6,,0,0,45,0,45,78
1111018100_02,1,서울특별시 종로구,1980.4,46,1,100.0,1.5,True,95.2,43.1,1980.4,0,0,45,0,45,78
1111018200_06,1,서울특별시 종로구,328.5,6,0,57.1,0.0,False,,54.7,,5,8,45,20,78,61
1111018600_05,1,서울특별시 종로구,335.2,16,0,85.7,0.0,False,353.7,20.9,,0,0,45,20,65,68
1114012200_03,1,서울특별시 중구,282.4,21,0,100.0,0.0,False,384.5,13.4,,0,0,45,20,65,68
1114012800_04,1,서울특별시 중구,375.8,26,0,62.5,0.0,False,343.0,14.5,,0,4,45,20,69,66
1114013800_01,1,서울특별시 중구,576.3,32,0,58.3,0.0,True,152.5,18.0,,0,8,45,0,53,74
1114014400_02,1,서울특별시 중구,498.8,31,0,100.0,0.0,True,166.2,16.1,,0,0,45,0,45,78
1114016200_03,1,서울특별시 중구,290.1,17,0,100.0,0.0,True,108.8,17.1,,0,0,45,0,45,78
1114016200_04,1,서울특별시 중구,517.2,35,0,81.8,0.0,True,294.4,14.8,,0,0,45,0,45,78
1114016200_05,1,서울특별시 중구,274.7,25,0,83.3,0.0,False,447.7,11.0,,0,0,45,20,65,68
1114016200_06,1,서울특별시 중구,576.4,24,0,100.0,0.0,False,387.9,24.0,,0,0,45,20,65,68
1114016200_07,1,서울특별시 중구,430.3,48,0,100.0,0.0,True,227.7,9.0,,0,0,45,0,45,78
1114016500_08,1,서울특별시 중구,218.9,7,0,60.0,0.0,False,,31.3,,0,4,45,20,69,66
1114017100_05,1,서울특별시 중구,186.8,14,0,75.0,0.0,True,257.2,13.3,,0,4,45,0,49,76
1114017100_06,1,서울특별시 중구,399.3,38,0,100.0,0.0,True,88.0,10.5,,0,0,45,0,45,78
1114017100_07,1,서울특별시 중구,191.7,10,0,100.0,0.0,True,182.1,19.2,,0,0,45,0,45,78
1117010100_03,1,서울특별시 용산구,446.1,62,0,100.0,0.0,True,58.7,7.2,,0,0,45,0,45,78
1117010200_04,1,서울특별시 용산구,283.6,42,0,83.3,0.0,False,704.6,6.8,,0,0,45,20,65,68
1117010500_05,1,서울특별시 용산구,302.8,36,0,100.0,0.0,False,555.4,8.4,,0,0,45,20,65,68
1117011000_01,1,서울특별시 용산구,408.5,49,0,100.0,0.0,False,,8.3,,0,0,45,20,65,68
1117011100_02,1,서울특별시 용산구,363.6,41,0,87.5,0.0,False,,8.9,,0,0,45,20,65,68
1117012400_16,1,서울특별시 용산구,293.1,23,0,66.7,0.0,True,167.2,12.7,,0,4,45,0,49,76
1117012500_17,1,서울특별시 용산구,272.1,23,0,50.0,0.0,False,425.8,11.8,,0,8,45,20,73,64
1117012900_14,1,서울특별시 용산구,742.9,110,0,66.7,0.0,False,,6.8,,0,4,45,20,69,66
1117012900_18,1,서울특별시 용산구,248.4,32,0,80.0,0.0,False,405.1,7.8,,0,0,45,20,65,68
1117013000_06,1,서울특별시 용산구,318.8,44,0,100.0,0.0,False,316.9,7.2,,0,0,45,20,65,68
1117013100_07,1,서울특별시 용산구,415.1,60,0,88.9,0.0,False,,6.9,,0,0,45,20,65,68
1117013100_08,1,서울특별시 용산구,513.6,57,0,81.8,0.0,False,534.2,9.0,,0,0,45,20,65,68
1117013100_09,1,서울특별시 용산구,450.9,49,0,60.0,0.0,True,138.3,9.2,,0,4,45,0,49,76
1117013200_12,1,서울특별시 용산구,199.1,40,0,100.0,0.0,False,507.4,5.0,,0,0,45,20,65,68
1117013600_10,1,서울특별시 용산구,377.6,69,0,100.0,0.0,True,181.4,5.5,,0,0,45,0,45,78
1117013600_11,1,서울특별시 용산구,264.7,40,0,100.0,0.0,False,359.1,6.6,,0,0,45,20,65,68
1117013600_13,1,서울특별시 용산구,267.5,17,0,83.3,0.0,True,54.9,15.7,,0,0,45,0,45,78
1120010200_08,1,서울특별시 성동구,434.0,41,0,100.0,0.0,False,366.7,10.6,,0,0,45,20,65,68
1120010200_09,1,서울특별시 성동구,460.2,49,0,100.0,0.0,False,389.7,9.4,,0,0,45,20,65,68
1120010600_16,1,서울특별시 성동구,189.6,19,0,75.0,0.0,False,510.3,10.0,,0,4,45,20,69,66
1120011400_03,1,서울특별시 성동구,478.6,35,0,90.0,0.0,False,,13.7,,0,0,45,20,65,68
1120012200_14,1,서울특별시 성동구,288.5,16,0,66.7,0.0,True,129.5,18.0,,0,4,45,0,49,76
1120012200_15,1,서울특별시 성동구,313.1,28,0,100.0,0.0,True,254.9,11.2,,0,0,45,0,45,78
1121510100_04,1,서울특별시 광진구,561.8,7,49,66.7,100.0,False,502.7,80.3,11.5,10,4,0,20,34,83
1121510100_05,1,서울특별시 광진구,212.2,3,16,80.0,100.0,True,238.5,70.7,13.3,5,0,0,0,5,98
1121510100_06,1,서울특별시 광진구,291.6,3,24,83.3,90.0,True,229.9,97.2,12.1,10,0,0,0,10,95
1121510100_07,1,서울특별시 광진구,226.7,5,23,100.0,100.0,True,249.0,45.3,9.9,0,0,0,0,0,100
1121510100_08,1,서울특별시 광진구,386.0,5,32,75.0,100.0,False,,77.2,12.1,10,4,0,20,34,83
1121510300_02,1,서울특별시 광진구,381.3,9,38,87.5,100.0,False,517.0,42.4,10.0,0,0,0,20,20,90
1121510300_03,1,서울특별시 광진구,414.9,8,25,66.7,92.9,False,516.8,51.9,16.6,5,4,0,20,29,86
1121510500_09,1,서울특별시 광진구,296.6,9,21,83.3,100.0,False,,33.0,14.1,0,0,0,20,20,90
1121510500_10,1,서울특별시 광진구,390.3,7,30,75.0,100.0,True,121.5,55.8,13.0,5,4,0,0,9,96
1121510500_11,1,서울특별시 광진구,374.2,6,33,87.5,100.0,True,215.4,62.4,11.3,5,0,0,0,5,98
1121510500_12,1,서울특별시 광진구,263.0,6,27,83.3,100.0,False,363.8,43.8,9.7,0,0,0,20,20,90
1121510700_01,1,서울특별시 광진구,288.9,7,25,100.0,100.0,False,481.9,41.3,11.6,0,0,0,20,20,90
1123010200_04,1,서울특별시 동대문구,476.3,22,0,100.0,0.0,False,366.2,21.6,,0,0,45,20,65,68
1123010300_24,1,서울특별시 동대문구,363.8,5,0,37.5,0.0,False,,72.8,,5,12,45,20,82,59
1123010400_10,1,서울특별시 동대문구,489.7,25,0,80.0,0.0,True,221.0,19.6,,0,0,45,0,45,78
1123010400_12,1,서울특별시 동대문구,543.3,57,0,100.0,0.0,False,,9.5,,0,0,45,20,65,68
1123010500_01,1,서울특별시 동대문구,483.7,26,0,60.0,0.0,True,145.9,18.6,,0,4,45,0,49,76
1123010600_14,1,서울특별시 동대문구,689.7,32,0,78.6,0.0,True,142.2,21.6,,0,4,45,0,49,76
1123010600_16,1,서울특별시 동대문구,684.5,19,0,64.3,0.0,False,385.2,36.0,,0,4,45,20,69,66
1123010700_23,1,서울특별시 동대문구,353.8,13,0,37.5,0.0,False,483.5,27.2,,0,12,45,20,77,62
1123010800_06,1,서울특별시 동대문구,311.5,23,0,100.0,0.0,True,168.7,13.5,,0,0,45,0,45,78
1123010900_20,1,서울특별시 동대문구,551.3,34,0,83.3,0.0,False,,16.2,,0,0,45,20,65,68
1123011000_18,1,서울특별시 동대문구,627.1,20,0,92.3,0.0,False,,31.4,,0,0,45,20,65,68
1126010100_03,1,서울특별시 중랑구,224.2,22,0,100.0,0.0,False,,10.2,,0,0,45,20,65,68
1126010100_04,1,서울특별시 중랑구,261.1,22,0,100.0,0.0,True,272.8,11.9,,0,0,45,0,45,78
1126010100_05,1,서울특별시 중랑구,288.2,22,0,100.0,0.0,False,430.4,13.1,,0,0,45,20,65,68
1126010100_07,1,서울특별시 중랑구,167.0,15,0,100.0,0.0,True,264.2,11.1,,0,0,45,0,45,78
1126010100_08,1,서울특별시 중랑구,442.3,25,0,100.0,0.0,False,379.0,17.7,,0,0,45,20,65,68
1126010100_09,1,서울특별시 중랑구,453.7,24,0,100.0,0.0,True,246.1,18.9,,0,0,45,0,45,78
1126010100_12,1,서울특별시 중랑구,357.2,26,0,100.0,0.0,False,436.3,13.7,,0,0,45,20,65,68
1126010100_13,1,서울특별시 중랑구,330.5,18,0,85.7,0.0,False,398.2,18.4,,0,0,45,20,65,68
1126010100_14,1,서울특별시 중랑구,259.0,14,0,83.3,0.0,False,367.4,18.5,,0,0,45,20,65,68
1126010200_06,1,서울특별시 중랑구,370.5,23,0,100.0,0.0,False,,16.1,,0,0,45,20,65,68
1126010300_16,1,서울특별시 중랑구,323.6,13,0,71.4,0.0,False,437.0,24.9,,0,4,45,20,69,66
1126010300_21,1,서울특별시 중랑구,421.3,22,0,100.0,0.0,False,,19.1,,0,0,45,20,65,68
1126010400_19,1,서울특별시 중랑구,209.5,11,0,100.0,0.0,False,490.6,19.0,,0,0,45,20,65,68
1126010500_01,1,서울특별시 중랑구,477.8,33,0,100.0,0.0,True,186.3,14.5,,0,0,45,0,45,78
1126010500_02,1,서울특별시 중랑구,255.7,13,0,66.7,0.0,False,,19.7,,0,4,45,20,69,66
1126010600_10,1,서울특별시 중랑구,300.1,6,0,57.1,0.0,False,,50.0,,5,8,45,20,78,61
