연번,설치주소,설치형태,등용량(W),데이터 기준일,위도,경도
1,구로구 개봉동 1-16,폴형,150,2025-11-28,37.5048187,126.8439741
2,구로구 개봉동 1-16,폴형,50,2025-11-28,37.5048187,126.8439741
3,구로구 온수동 9-7,한전주,50,2025-11-28,37.4935287,126.8246019
4,구로구 개봉동 469,한전주,70,2025-11-28,37.5044905,126.8437047
5,구로구 개봉동 416-273,한전주,70,2025-11-28,37.5041016,126.8430894
6,구로구 천왕동 10-22,한전주,70,2025-11-28,37.4823777,126.8431151
7,구로구 천왕동 259-7,한전주,25,2025-11-28,37.4822568,126.8433182
8,구로구 온수동 10-12,한전주,25,2025-11-28,37.4931281,126.8239451
9,구로구 천왕동 10-18,벽부형,70,2025-11-28,37.4822992,126.8427976
10,구로구 온수동 10-18,폴형,70,2025-11-28,37.4936100,126.8240977
11,구로구 천왕동 10-22,한전주,70,2025-11-28,37.4823777,126.8431151
12,구로구 천왕동 33-4,한전주,70,2025-11-28,37.4819767,126.8430932
13,구로구 온수동 9-44,한전주,50,2025-11-28,37.4945319,126.8244746
14,구로구 온수동 10-25,폴형,50,2025-11-28,37.4934049,126.8239082
15,구로구 온수동 9-44,한전주,50,2025-11-28,37.4945319,126.8244746
16,구로구 천왕동 257-58,한전주,70,2025-11-28,37.4824557,126.8424131
17,구로구 온수동 11-1,한전주,25,2025-11-28,37.4929245,126.8236474
18,구로구 개봉동 3,한전주,70,2025-11-28,37.5043784,126.8445674
19,구로구 온수동 158,한전주,25,2025-11-28,37.4932222,126.8230623
20,구로구 온수동 7-12,한전주,50,2025-11-28,37.4944725,126.8248659
21,구로구 개봉동 8-21,폴형,25,2025-11-28,37.5037297,126.8443973
22,구로구 개봉동 10-2,폴형,70,2025-11-28,37.5038123,126.8439408
23,구로구 개봉동 10-2,폴형,100,2025-11-28,37.5038123,126.8439408
24,구로구 개봉동 11-14,한전주,35,2025-11-28,37.5036946,126.8433242
25,구로구 개봉동 10-55,한전주,70,2025-11-28,37.5037011,126.8437546
26,구로구 천왕동 10-31,한전주,35,2025-11-28,37.4827277,126.8422928
27,구로구 천왕동 10-32,한전주,70,2025-11-28,37.4827706,126.8423232
28,구로구 개봉동 10-48,벽부형,70,2025-11-28,37.5035250,126.8437521
29,구로구 궁동 산10-49,폴형,100,2025-11-28,37.5018202,126.8353831
30,구로구 궁동 산10-49,폴형,100,2025-11-28,37.5018202,126.8353831
31,구로구 궁동 산10-50,한전주,70,2025-11-28,37.5023408,126.8343608
32,구로구 궁동 산10-49,한전주,70,2025-11-28,37.5018202,126.8353831
33,구로구 온수동 10-25,한전주,50,2025-11-28,37.4934049,126.8239082
34,구로구 온수동 100-104,한전주,50,2025-11-28,37.4939384,126.8163321
35,구로구 온수동 100-25,한전주,50,2025-11-28,37.4920486,126.8180046
36,구로구 온수동 100-126,폴형,50,2025-11-28,37.4925297,126.8178993
37,구로구 온수동 100-25,한전주,50,2025-11-28,37.4920486,126.8180046
38,구로구 온수동 100-127,폴형,50,2025-11-28,37.4926863,126.8180858
39,구로구 온수동 100-16,한전주,50,2025-11-28,37.4931493,126.8157619
