관리부서,관리번호,사용목적,소재지지번주소,데이터기준일자,위도,경도
서울특별시 금천구청 도로과,가산동-10100,방범등,서울특별시 금천구 가산동 464-2,2025-06-17,37.4823481,126.8820325
서울특별시 금천구청 도로과,가산동-10101,방범등,서울특별시 금천구 가산동 464-2,2025-06-17,37.4823481,126.8820325
서울특별시 금천구청 도로과,가산동-10102,방범등,서울특별시 금천구 가산동 464-2,2025-06-17,37.4823481,126.8820325
서울특별시 금천구청 도로과,가산동-10103,방범등,서울특별시 금천구 가산동 464-2,2025-06-17,37.4823481,126.8820325
서울특별시 금천구청 도로과,가산동-10104,방범등,서울특별시 금천구 가산동 493-6,2025-06-17,37.4812073,126.8760617
서울특별시 금천구청 도로과,가산동-10105,방범등,서울특별시 금천구 가산동 535-55,2025-06-17,37.4817997,126.8756105
서울특별시 금천구청 도로과,가산동-10106,방범등,서울특별시 금천구 가산동 535-158,2025-06-17,37.4818016,126.8752178
서울특별시 금천구청 도로과,가산동-10107,방범등,서울특별시 금천구 가산동 535-158,2025-06-17,37.4818016,126.8752178
서울특별시 금천구청 도로과,가산동-10108,방범등,서울특별시 금천구 가산동 33-5,2025-06-17,37.4839895,126.8829390
서울특별시 금천구청 도로과,가산동-10109,방범등,서울특별시 금천구 가산동 32-48,2025-06-17,37.4839738,126.8822510
서울특별시 금천구청 도로과,가산동-10110,방범등,서울특별시 금천구 가산동 151-10,2025-06-17,37.4767868,126.8943354
서울특별시 금천구청 도로과,가산동-10111,방범등,서울특별시 금천구 가산동 151-10,2025-06-17,37.4767868,126.8943354
서울특별시 금천구청 도로과,가산동-10112,방범등,서울특별시 금천구 가산동 151-10,2025-06-17,37.4767868,126.8943354
서울특별시 금천구청 도로과,가산동-1020,방범등,서울특별시 금천구 가산동 547-44,2025-06-17,37.4778409,126.8776834
서울특별시 금천구청 도로과,가산동-1021,방범등,서울특별시 금천구 가산동 547-44,2025-06-17,37.4778409,126.8776834
서울특별시 금천구청 도로과,가산동-1022,방범등,서울특별시 금천구 가산동 547-59,2025-06-17,37.4781619,126.8769650
서울특별시 금천구청 도로과,가산동-1023,방범등,서울특별시 금천구 가산동 547-78,2025-06-17,37.4784768,126.8768212
서울특별시 금천구청 도로과,가산동-1027,방범등,서울특별시 금천구 가산동 542-6,2025-06-17,37.4795521,126.8763004
서울특별시 금천구청 도로과,가산동-1028,방범등,서울특별시 금천구 가산동 542-6,2025-06-17,37.4795521,126.8763004
서울특별시 금천구청 도로과,가산동-1029,방범등,서울특별시 금천구 가산동 542-1,2025-06-17,37.4799379,126.8761578
서울특별시 금천구청 도로과,가산동-1030,방범등,서울특별시 금천구 가산동 493,2025-06-17,37.4804470,126.8761848
서울특별시 금천구청 도로과,가산동-1031,방범등,서울특별시 금천구 가산동 535-146,2025-06-17,37.4827954,126.8750695
서울특별시 금천구청 도로과,가산동-1032,방범등,서울특별시 금천구 가산동 535-146,2025-06-17,37.4827954,126.8750695
서울특별시 금천구청 도로과,가산동-1033,방범등,서울특별시 금천구 가산동 535-146,2025-06-17,37.4827954,126.8750695
서울특별시 금천구청 도로과,가산동-1034,방범등,서울특별시 금천구 가산동 535-8,2025-06-17,37.4844284,126.8746343
서울특별시 금천구청 도로과,가산동-1035,방범등,서울특별시 금천구 가산동 535-130,2025-06-17,37.4846925,126.8746067
서울특별시 금천구청 도로과,가산동-1036,방범등,서울특별시 금천구 가산동 535-130,2025-06-17,37.4846925,126.8746067
서울특별시 금천구청 도로과,가산동-1037,방범등,서울특별시 금천구 가산동 535-129,2025-06-17,37.4848503,126.8749586
서울특별시 금천구청 도로과,가산동-1038,방범등,서울특별시 금천구 가산동 458-17,2025-06-17,37.4803933,126.8792208
서울특별시 금천구청 도로과,가산동-1039,방범등,"서울특별시 금천구 가산동 458-7
458-8",2025-06-17,37.4804669,126.8796520
서울특별시 금천구청 도로과,가산동-104,방범등,서울특별시 금천구 가산동 238-112,2025-06-17,37.4729413,126.8886494
서울특별시 금천구청 도로과,가산동-1040,방범등,서울특별시 금천구 가산동 458-5,2025-06-17,37.4804483,126.8798332
서울특별시 금천구청 도로과,가산동-1041,방범등,서울특별시 금천구 가산동 458-1,2025-06-17,37.4804376,126.8801171
서울특별시 금천구청 도로과,가산동-1042,방범등,서울특별시 금천구 가산동 371-42,2025-06-17,37.4801213,126.8796449
서울특별시 금천구청 도로과,가산동-1043,방범등,서울특별시 금천구 가산동 458-27,2025-06-17,37.4802418,126.8795246
서울특별시 금천구청 도로과,가산동-1044,방범등,서울특별시 금천구 가산동 371-42,2025-06-17,37.4801213,126.8796449
서울특별시 금천구청 도로과,가산동-1046,방범등,서울특별시 금천구 가산동 458-2,2025-06-17,37.4805837,126.8789320
서울특별시 금천구청 도로과,가산동-1047,방범등,서울특별시 금천구 가산동 464-2,2025-06-17,37.4823481,126.8820325
