등번호,위도값,경도값
천호3동470,37.540731,127.1317912
천호3동471,37.5404859,127.1315338
천호3동472,37.5403134,127.1313548
천호3동473,37.5401049,127.1311874
천호3동422,37.5416285,127.1399283
천호3동423,37.5420892,127.1400928
천호3동424,37.5421901,127.1403293
천호3동425,37.5422609,127.1401587
천호3동426,37.5424684,127.1401903
천호3동427,37.5426376,127.1399168
천호3동428,37.5425686,127.1403476
천호3동429,37.5425075,127.1406085
천호3동430,37.5424024,127.1410284
천호3동431,37.5423412,127.1412894
천호3동432,37.5422211,127.1408834
천호3동433,37.5420765,127.1408285
천호3동434,37.5416971,127.1406857
천호3동435,37.5416042,127.140302
천호3동436,37.5415794,127.1406079
천호3동437,37.541444,127.1405868
천호3동438,37.5423242,127.1327912
천호3동439,37.5421987,127.1328719
천호3동440,37.5420978,127.1326354
천호3동441,37.5420016,127.1330326
천호3동442,37.5418647,127.1327965
천호3동443,37.541728,127.1325831
천호3동444,37.541637,127.1324597
천호3동445,37.5415005,127.1322689
천호3동446,37.5413302,127.1323954
천호3동447,37.5413424,127.1328365
천호3동449,37.5416411,127.1330141
천호3동450,37.5413795,127.1329719
천호3동451,37.5411352,127.1328389
천호3동452,37.5409999,127.1328179
천호3동453,37.5408005,127.1326617
천호3동454,37.5405021,127.1325181
천호3동455,37.5404372,127.1322699
천호3동456,37.5403484,127.1324407
천호3동457,37.5401947,127.1323745
천호3동458,37.540157,127.1321487
천호3동459,37.5402367,127.1319554
천호3동460,37.5403348,127.1318185
천호3동461,37.5404251,127.1318514
천호3동590,37.54155272,127.1328748
천호3동591,37.53816678,127.1332563
천호3동595,37.5424103,127.1347027
천호3동596,37.5419083,127.139993
천호3동597,37.5397206,127.1279443
천호3동488,37.5395116,127.1313754
천호3동489,37.5393123,127.1312306
천호3동490,37.5391313,127.1311308
천호3동492,37.538851,127.1309983
천호3동493,37.5388323,127.130908
천호3동494,37.5387816,127.1313612
천호3동495,37.5387374,127.1314748
천호3동496,37.5389712,127.1314156
천호3동497,37.5391522,127.1315153
천호3동498,37.5388042,127.1307499
천호3동499,37.5389944,127.1308835
천호3동500,37.5392453,127.1306995
천호3동501,37.539407,127.1306297
천호3동502,37.5396679,127.1305814
천호3동503,37.5397402,127.1306032
천호3동504,37.5398396,127.1306474
천호3동505,37.5399662,127.1307138
천호3동506,37.5400831,127.1306785
천호3동507,37.5401474,127.1308475
천호3동508,37.5402561,127.1309254
천호3동509,37.5403263,127.1306643
천호3동510,37.54041,127.1310142
천호3동511,37.5405553,127.1311709
천호3동512,37.5407639,127.1313609
천호3동513,37.5409272,127.1315061
천호3동514,37.5404541,127.1308892
천호3동515,37.5408156,127.1310321
천호3동516,37.5409697,127.1311548
천호3동517,37.5406066,127.1307969
천호3동518,37.5406781,127.1307168
천호3동519,37.5409048,127.1309066
천호3동520,37.5407308,127.1305352
천호3동521,37.5409089,127.1302502
천호3동523,37.5411644,127.1306773
천호3동524,37.5409622,127.1301364
천호3동525,37.5408622,127.1300244
천호3동526,37.5406086,127.1298463
천호3동474,37.5398696,127.1310431
천호3동475,37.5396612,127.1308984
천호3동476,37.5393378,127.1310266
천호3동477,37.5395191,127.1311716
천호3동478,37.5397093,127.1313052
천호3동479,37.5397643,127.1314403
천호3동480,37.5399717,127.1314606
천호3동481,37.5399456,127.1315853
천호3동482,37.5400456,127.1316973
천호3동483,37.5401995,127.1317974
천호3동484,37.5398133,127.1319716
천호3동485,37.5396234,127.1318833
천호3동486,37.5395954,127.1317478
천호3동487,37.5394235,127.1316593
천호3동462,37.5404899,127.1320769
천호3동463,37.5406521,127.1320864
천호3동464,37.5408976,127.132389
천호3동465,37.5409617,127.1325241
천호3동466,37.541167,127.1322615
천호3동467,37.5410672,127.1321608
천호3동468,37.5410123,127.1320596
천호3동469,37.5408582,127.1319256
천호3동612,37.5402896,127.1342632
천호3동613,37.5407558,127.133941
천호3동614,37.54279129,127.1351259
천호3동615,37.54057371,127.1301122
천호3동643,37.53846559,127.1319443
천호3동644,37.53971901,127.1350129
천호3동651,37.54046896,127.1311303
천호3동652,37.54126661,127.1368516
천호3동654,37.54159272,127.137285
천호3동655,37.54181508,127.1358879
천호3동656,37.53941432,127.1335612
천호3동657,37.54219602,127.1356567
천호3동659,37.54246606,127.1339118
천호3동661,37.53887475,127.1326522
천호3동662,37.53898511,127.1326609
천호3동663,37.53895911,127.1297048
천호3동664,37.53972232,127.1340879
천호3동665,37.54037043,127.1346265
천호3동527,37.5405084,127.1297004
천호3동528,37.5405832,127.1300616
천호3동529,37.540448,127.1300519
천호3동530,37.5404854,127.1302438
천호3동531,37.5405492,127.1303449
천호3동532,37.5404604,127.1305157
천호3동533,37.5403572,127.1299624
천호3동534,37.5402676,127.1300313
천호3동535,37.5402301,127.1298281
천호3동536,37.5401777,127.1300663
천호3동537,37.5400064,127.1300457
천호3동538,37.5399343,127.1300465
천호3동539,37.5398554,127.1303416
천호3동540,37.5397807,127.1299917
천호3동541,37.5396561,127.1301969
천호3동543,37.5393608,127.1304719
천호3동545,37.5396622,127.1298007
천호3동546,37.5398228,127.1295839
천호3동547,37.5391081,127.1304182
천호3동549,37.5393674,127.1301436
천호3동550,37.5399393,127.1295033
천호3동551,37.5400644,127.1293548
천호3동552,37.5403271,127.1295441
천호3동553,37.5403646,127.1297473
천호3동554,37.5404344,127.1294297
천호3동555,37.540325,127.1292612
천호3동556,37.5400991,127.1291733
천호3동557,37.5401521,127.1290256
천호3동558,37.5400429,127.1288797
천호3동559,37.5402229,127.128855
천호3동560,37.5421232,127.1311754
천호3동561,37.5420257,127.1314028
천호3동562,37.5418932,127.1317665
천호3동563,37.5417527,127.132266
천호3동564,37.5424035,127.1313192
천호3동565,37.5421812,127.1317179
천호3동566,37.5423901,127.1331752
천호3동567,37.5402891,127.1317285
천호3동568,37.5401712,127.131628
천호3동569,37.5393812,127.1357221
천호3동570,37.5379645,127.1280779
천호3동571,37.5429013,127.1365415
천호3동572,37.5416244,127.1344288
천호3동574,37.5423169,127.1391849
천호3동579,37.5396806,127.1335347
천호3동580,37.5413349,127.1342737
천호3동343,37.5426731,127.1349033
천호3동344,37.5429865,127.1358729
천호3동345,37.5427976,127.135909
천호3동347,37.5425736,127.1360813
천호3동348,37.5425565,127.136206
천호3동349,37.542504,127.1364216
천호3동350,37.5424039,127.136287
