보안등위치명,설치개수,소재지도로명주소,위도,경도,설치형태,관리기관전화번호,관리기관명,데이터기준일자
답십리1동(0001),1,서울특별시 동대문구 천호대로47길 34,37.57392438,127.0440555,전용주,02-2127-4834,서울특별시 동대문구청,2024-12-26
답십리1동(0002),1,서울특별시 동대문구 천호대로47길 34,37.57392438,127.0440555,전용주,02-2127-4834,서울특별시 동대문구청,2024-12-26
답십리1동(0003),1,서울특별시 동대문구 천호대로47길 34,37.57392438,127.0440555,전용주,02-2127-4834,서울특별시 동대문구청,2024-12-26
답십리1동(0004),1,서울특별시 동대문구 천호대로47길 34,37.57392438,127.0440555,전용주,02-2127-4834,서울특별시 동대문구청,2024-12-26
답십리1동(0005),1,서울특별시 동대문구 서울시립대로 19,37.57373522,127.0451787,전용주,02-2127-4834,서울특별시 동대문구청,2024-12-26
답십리1동(0006),1,서울특별시 동대문구 서울시립대로 11,37.57312592,127.0444846,한전주,02-2127-4834,서울특별시 동대문구청,2024-12-26
답십리1동(0017),1,서울특별시 동대문구 답십리로 78,37.57493867,127.0491596,한전주,02-2127-4834,서울특별시 동대문구청,2024-12-26
답십리1동(0018),1,서울특별시 동대문구 답십리로30길 9,37.57470278,127.0489589,한전주,02-2127-4834,서울특별시 동대문구청,2024-12-26
답십리1동(0019),1,서울특별시 동대문구 답십리로30길 15,37.57441247,127.0487135,한전주,02-2127-4834,서울특별시 동대문구청,2024-12-26
답십리1동(0020),1,서울특별시 동대문구 답십리로30길 9-3,37.57463153,127.0490617,건축물,02-2127-4834,서울특별시 동대문구청,2024-12-26
답십리1동(0021),1,서울특별시 동대문구 답십리로32길 11-1,37.57441675,127.0492455,한전주,02-2127-4834,서울특별시 동대문구청,2024-12-26
답십리1동(0022),1,서울특별시 동대문구 답십리로 79,37.5734334,127.0603636,한전주,02-2127-4834,서울특별시 동대문구청,2024-12-26
답십리1동(0023),1,서울특별시 동대문구 답십리로34길 4-4,37.57468085,127.0495931,건축물,02-2127-4834,서울특별시 동대문구청,2024-12-26
답십리1동(0024),1,서울특별시 동대문구 답십리로 82-1,37.57462761,127.0496957,전용주,02-2127-4834,서울특별시 동대문구청,2024-12-26
답십리1동(0025),1,서울특별시 동대문구 답십리로 86,37.574395,127.0499024,한전주,02-2127-4834,서울특별시 동대문구청,2024-12-26
답십리1동(0026),1,서울특별시 동대문구 답십리로34길 8,37.57437416,127.0495517,한전주,02-2127-4834,서울특별시 동대문구청,2024-12-26
답십리1동(0027),1,서울특별시 동대문구 답십리로34길 12,37.57424685,127.0494062,건축물,02-2127-4834,서울특별시 동대문구청,2024-12-26
답십리1동(0028),1,서울특별시 동대문구 답십리로34길 6-9,37.57430045,127.0493489,건축물,02-2127-4834,서울특별시 동대문구청,2024-12-26
답십리1동(0029),1,서울특별시 동대문구 답십리로32길 19-3,37.57424384,127.0490326,전용주,02-2127-4834,서울특별시 동대문구청,2024-12-26
답십리1동(0030),1,서울특별시 동대문구 답십리로32길 19-3,37.57424384,127.0490326,한전주,02-2127-4834,서울특별시 동대문구청,2024-12-26
답십리1동(0031),1,서울특별시 동대문구 답십리로32길 17,37.57426104,127.0489305,건축물,02-2127-4834,서울특별시 동대문구청,2024-12-26
답십리1동(0032),1,서울특별시 동대문구 답십리로32길 24,37.5742868,127.0487717,한전주,02-2127-4834,서울특별시 동대문구청,2024-12-26
답십리1동(0033),1,서울특별시 동대문구 답십리로32길 21,37.57419615,127.0487049,한전주,02-2127-4834,서울특별시 동대문구청,2024-12-26
답십리1동(0034),1,서울특별시 동대문구 답십리로32길 19,37.57417004,127.0488185,건축물,02-2127-4834,서울특별시 동대문구청,2024-12-26
답십리1동(0035),1,서울특별시 동대문구 답십리로34길 6-11,37.57415566,127.0492715,한전주,02-2127-4834,서울특별시 동대문구청,2024-12-26
답십리1동(0036),1,서울특별시 동대문구 답십리로34길 6-16,37.57401897,127.0490808,한전주,02-2127-4834,서울특별시 동대문구청,2024-12-26
답십리1동(0037),1,서울특별시 동대문구 황물로13길 8,37.56588841,127.0565643,전용주,02-2127-4834,서울특별시 동대문구청,2024-12-26
답십리1동(0038),1,서울특별시 동대문구 답십리로 90-1,37.57420098,127.0504256,건축물,02-2127-4834,서울특별시 동대문구청,2024-12-26
답십리1동(0039),1,서울특별시 동대문구 답십리로38길 13,37.57368652,127.0503189,한전주,02-2127-4834,서울특별시 동대문구청,2024-12-26
답십리1동(0040),1,서울특별시 동대문구 답십리로38길13,37.57368652,127.0503189,한전주,02-2127-4834,서울특별시 동대문구청,2024-12-26
답십리1동(0041),1,서울특별시 동대문구 답십리로38길 19,37.57345992,127.050152,한전주,02-2127-4834,서울특별시 동대문구청,2024-12-26
답십리1동(0042),1,서울특별시 동대문구 답십리로38길 19,37.57345992,127.050152,한전주,02-2127-4834,서울특별시 동대문구청,2024-12-26
답십리1동(0045),1,서울특별시 동대문구 답십리로40길 18,37.57335444,127.0504816,한전주,02-2127-4834,서울특별시 동대문구청,2024-12-26
답십리1동(0046),1,서울특별시 동대문구 답십리로40길 13,37.57316169,127.0511633,한전주,02-2127-4834,서울특별시 동대문구청,2024-12-26
답십리1동(0047),1,서울특별시 동대문구 답십리로40길 3-2,37.57358495,127.0511353,건축물,02-2127-4834,서울특별시 동대문구청,2024-12-26
답십리1동(0048),1,서울특별시 동대문구 답십리로 100,37.5737484,127.0512917,한전주,02-2127-4834,서울특별시 동대문구청,2024-12-26
답십리1동(0049),1,서울특별시 동대문구 답십리로40길 7-8,37.57338693,127.0511605,건축물,02-2127-4834,서울특별시 동대문구청,2024-12-26
답십리1동(0050),1,서울특별시 동대문구 답십리로40길 7-14,37.5733336,127.0512517,건축물,02-2127-4834,서울특별시 동대문구청,2024-12-26
답십리1동(0052),1,서울특별시 동대문구 답십리로40길 3-20,37.57337163,127.0515003,한전주,02-2127-4834,서울특별시 동대문구청,2024-12-26
답십리1동(0053),1,서울특별시 동대문구 답십리로40길 3-18,37.57340722,127.0514432,건축물,02-2127-4834,서울특별시 동대문구청,2024-12-26
답십리1동(0054),1,서울특별시 동대문구 답십리로40길 7-18,37.57330702,127.0513086,건축물,02-2127-4834,서울특별시 동대문구청,2024-12-26
답십리1동(0055),1,서울특별시 동대문구 서울시립대로4길 83,37.57434686,127.0483973,한전주,02-2127-4834,서울특별시 동대문구청,2024-12-26
답십리1동(0056),1,서울특별시 동대문구 답십리로40길 7-28,37.57317333,127.0514915,한전주,02-2127-4834,서울특별시 동대문구청,2024-12-26
답십리1동(0057),1,서울특별시 동대문구 사가정로 45,37.57317578,127.0517971,건축물,02-2127-4834,서울특별시 동대문구청,2024-12-26
답십리1동(0058),1,서울특별시 동대문구 사가정로 45,37.57317578,127.0517971,건축물,02-2127-4834,서울특별시 동대문구청,2024-12-26
답십리1동(0059),1,서울특별시 동대문구 답십리로40길 7-34,37.57311117,127.0516055,건축물,02-2127-4834,서울특별시 동대문구청,2024-12-26
답십리1동(0060),1,서울특별시 동대문구 서울시립대로4길 91-5,37.57292871,127.0513248,건축물,02-2127-4834,서울특별시 동대문구청,2024-12-26
답십리1동(0061),1,서울특별시 동대문구 서울시립대로4길 91-3,37.57285618,127.0512691,건축물,02-2127-4834,서울특별시 동대문구청,2024-12-26
답십리1동(0062),1,서울특별시 동대문구 서울시립대로4길 91,37.57278347,127.0511908,건축물,02-2127-4834,서울특별시 동대문구청,2024-12-26
답십리1동(0063),1,서울특별시 동대문구 답십리로40길 13,37.57316169,127.0511633,한전주,02-2127-4834,서울특별시 동대문구청,2024-12-26
답십리1동(0064),1,서울특별시 동대문구 서울시립대로4길 83,37.57434686,127.0483973,한전주,02-2127-4834,서울특별시 동대문구청,2024-12-26
