보안등표찰명,소재지지번주소,경도,위도,설치형태,관리기관전화번호,관리기관명,데이터기준일자
충현동9029,서울특별시 서대문구 미근동26,126.9668246,37.5635302,한전주,02-330-1562~3,서울특별시 서대문구청,2025-01-01
충현동9030,서울특별시 서대문구 미근동35,126.9667018,37.5634029,한전주,02-330-1562~3,서울특별시 서대문구청,2025-01-01
신촌동1300,서울특별시 서대문구 창천동67-28,126.9329272,37.5577504,건축물,02-330-1562~3,서울특별시 서대문구청,2025-01-01
충현동9041,서울특별시 서대문구 미근동71,126.9669358,37.5628554,건축물,02-330-1562~3,서울특별시 서대문구청,2025-01-01
충현동9046,서울특별시 서대문구 미근동95-3,126.9674617,37.5624725,통신주,02-330-1562~3,서울특별시 서대문구청,2025-01-01
충현동9019,서울특별시 서대문구 미근동91,126.9678367,37.5623677,건축물,02-330-1562~3,서울특별시 서대문구청,2025-01-01
충현동9042,서울특별시 서대문구 미근동103,126.9668129,37.5627371,건축물,02-330-1562~3,서울특별시 서대문구청,2025-01-01
충현동8838,서울특별시 서대문구 미근동103,126.9668129,37.5627371,건축물,02-330-1562~3,서울특별시 서대문구청,2025-01-01
충현동10235,서울특별시 서대문구 미근동190,126.9674258,37.5642562,통신주,02-330-1562~3,서울특별시 서대문구청,2025-01-01
충현동9024,서울특별시 서대문구 미근동80,126.967436,37.5626975,통신주,02-330-1562~3,서울특별시 서대문구청,2025-01-01
충현동9020,서울특별시 서대문구 미근동215,126.968461,37.5630579,건축물,02-330-1562~3,서울특별시 서대문구청,2025-01-01
충현동2230,서울특별시 서대문구 미근동215,126.968461,37.5630579,전용주,02-330-1562~3,서울특별시 서대문구청,2025-01-01
충현동9018,서울특별시 서대문구 미근동235,126.9681641,37.5624246,한전주,02-330-1562~3,서울특별시 서대문구청,2025-01-01
충현동9436,서울특별시 서대문구 미근동31-2,126.9671628,37.5644432,한전주,02-330-1562~3,서울특별시 서대문구청,2025-01-01
