연번,행정동,도로명주소,지번주소,위도,경도
1,양재2동,서울특별시 서초구 강남대로1-7,서울특별시 서초구 양재동 351-12,37.49655674,127.0281568
2,양재2동,서울특별시 서초구 강남대로6길 66-15,서울특별시 서초구 양재동 359-8,37.46804884,127.0449513
3,서초1동,서울특별시 서초구 남부순환로333길 16,서울특별시 서초구 서초동 1429-1,37.48338165,127.0203105
4,내곡동,서울특별시 서초구 청룡마을길 8,서울특별시 서초구 신원동 218-3,37.44595295,127.0582172
5,내곡동,서울특별시 서초구 청룡마을길 14,서울특별시 서초구 신원동 219-1,37.44617125,127.0584744
6,내곡동,서울특별시 서초구 청룡마을길 14,서울특별시 서초구 신원동 219-1,37.44617125,127.0584744
7,내곡동,서울특별시 서초구 청룡마을길 17-3,서울특별시 서초구 신원동 217-4,37.44659372,127.0583448
8,내곡동,서울특별시 서초구 청룡마을길 23,서울특별시 서초구 신원동 231-14,37.44711025,127.0587113
9,내곡동,서울특별시 서초구 청룡마을길 23-5,서울특별시 서초구 신원동 192-19,37.44698195,127.0584416
10,내곡동,서울특별시 서초구 청룡마을길 23-7,서울특별시 서초구 신원동 232-5,37.44713494,127.0584171
11,내곡동,서울특별시 서초구 청룡마을길 23-8,서울특별시 서초구 신원동 236-6,37.44757821,127.0586376
12,내곡동,서울특별시 서초구 청룡마을길 23-8,서울특별시 서초구 신원동 236-6,37.44757821,127.0586376
13,내곡동,서울특별시 서초구 청룡마을길 23-15,서울특별시 서초구 신원동 253-7,37.44798213,127.0584404
14,서초1동,서울특별시 서초구 남부순환로333길 22,서울특별시 서초구 서초동 1429-3,37.48360951,127.0206241
15,내곡동,서울특별시 서초구 탑성말1길 3-3,서울특별시 서초구 염곡동 208-4,37.45729443,127.0567188
16,내곡동,서울특별시 서초구 탑성말1길 3-5,서울특별시 서초구 염곡동 219-12,37.45716803,127.0566865
17,내곡동,서울특별시 서초구 탑성말1길 3-6,서울특별시 서초구 염곡동 222-4,37.45729164,127.0563684
18,내곡동,서울특별시 서초구 탑성말1길 6,서울특별시 서초구 염곡동 208-3,37.45785087,127.0564405
19,내곡동,서울특별시 서초구 탑성말1길 6,서울특별시 서초구 염곡동 208-3,37.45785087,127.0564405
20,내곡동,서울특별시 서초구 탑성말1길 7-4,서울특별시 서초구 염곡동 208-8,37.4576314,127.0560364
21,내곡동,서울특별시 서초구 탑성말1길 7-4,서울특별시 서초구 염곡동 224-5,37.4576314,127.0560364
22,내곡동,서울특별시 서초구 탑성말1길 11-3,서울특별시 서초구 염곡동 208-7,37.45771978,127.0558205
23,내곡동,서울특별시 서초구 탑성말1길 11-3,서울특별시 서초구 염곡동 208-7,37.45771978,127.0558205
24,내곡동,서울특별시 서초구 탑성말1길 12,서울특별시 서초구 염곡동 208-1,37.45806377,127.0560196
25,서초1동,서울특별시 서초구 남부순환로333길 36,서울특별시 서초구 서초동 1431-1,37.4840276,127.0210597
26,내곡동,서울특별시 서초구 탑성말1길 16,서울특별시 서초구 염곡동 206-4,37.45823207,127.0556558
27,내곡동,서울특별시 서초구 탑성말길 10,서울특별시 서초구 염곡동 209-2,37.45798656,127.0565067
28,내곡동,서울특별시 서초구 탑성말길 18,서울특별시 서초구 염곡동 215-5,37.45745958,127.0570897
29,내곡동,서울특별시 서초구 탑성말길 18-6,서울특별시 서초구 염곡동 219-9,37.45707892,127.0568119
30,내곡동,서울특별시 서초구 탑성말길 20,서울특별시 서초구 염곡동 219-4,37.45730002,127.0574195
31,내곡동,서울특별시 서초구 탑성말길 26,서울특별시 서초구 염곡동 217-5,37.45691584,127.0578312
32,반포2동,서울특별시 서초구 피천득산책로1-1,서울특별시 서초구 반포동 117-4,37.47418168,127.0323353
33,반포2동,서울특별시 서초구 피천득산책로1-2,서울특별시 서초구 반포동 117-4,37.47418168,127.0323353
34,반포2동,서울특별시 서초구 피천득산책로1-3,서울특별시 서초구 반포동 117-4,37.47418168,127.0323353
35,반포2동,서울특별시 서초구 피천득산책로1-4,서울특별시 서초구 반포동 117-4,37.47418168,127.0323353
36,서초1동,서울특별시 서초구 남부순환로333길 45,서울특별시 서초구 서초동 1430-7,37.48450661,127.0212343
37,반포2동,서울특별시 서초구 피천득산책로1-5,서울특별시 서초구 반포동 117-4,37.47418168,127.0323353
38,반포2동,서울특별시 서초구 피천득산책로1-6,서울특별시 서초구 반포동 117-4,37.47418168,127.0323353
39,반포2동,서울특별시 서초구 피천득산책로1-7,서울특별시 서초구 반포동 117-4,37.47418168,127.0323353
40,반포2동,서울특별시 서초구 피천득산책로1-8,서울특별시 서초구 반포동 117-4,37.47418168,127.0323353
41,반포2동,서울특별시 서초구 피천득산책로1-9,서울특별시 서초구 반포동 117-4,37.47418168,127.0323353
42,반포2동,서울특별시 서초구 피천득산책로1-10,서울특별시 서초구 반포동 117-4,37.47418168,127.0323353
43,반포2동,서울특별시 서초구 피천득산책로1-11,서울특별시 서초구 반포동 117-4,37.47418168,127.0323353
44,반포2동,서울특별시 서초구 피천득산책로1-12,서울특별시 서초구 반포동 117-4,37.47418168,127.0323353
45,반포2동,서울특별시 서초구 피천득산책로1-13,서울특별시 서초구 반포동 117-4,37.47418168,127.0323353
46,반포2동,서울특별시 서초구 피천득산책로1-14,서울특별시 서초구 반포동 117-4,37.47418168,127.0323353
47,서초1동,서울특별시 서초구 남부순환로333길 49,서울특별시 서초구 서초동 1745-7,37.48467975,127.0214695
48,반포2동,서울특별시 서초구 피천득산책로1-15,서울특별시 서초구 반포동 117-4,37.47418168,127.0323353
49,반포2동,서울특별시 서초구 피천득산책로1-16,서울특별시 서초구 반포동 117-4,37.47418168,127.0323353
50,반포2동,서울특별시 서초구 피천득산책로1-17,서울특별시 서초구 반포동 117-4,37.47418168,127.0323353
51,반포2동,서울특별시 서초구 피천득산책로1-18,서울특별시 서초구 반포동 117-4,37.47418168,127.0323353
52,반포2동,서울특별시 서초구 피천득산책로1-19,서울특별시 서초구 반포동 117-4,37.47418168,127.0323353
53,반포2동,서울특별시 서초구 피천득산책로1-20,서울특별시 서초구 반포동 117-4,37.47418168,127.0323353
54,반포2동,서울특별시 서초구 피천득산책로1-21,서울특별시 서초구 반포동 117-4,37.47418168,127.0323353
55,반포2동,서울특별시 서초구 피천득산책로1-22,서울특별시 서초구 반포동 117-4,37.47418168,127.0323353
56,반포2동,서울특별시 서초구 피천득산책로1-23,서울특별시 서초구 반포동 117-4,37.47418168,127.0323353
57,반포2동,서울특별시 서초구 피천득산책로1-24,서울특별시 서초구 반포동 117-4,37.47418168,127.0323353
58,서초1동,서울특별시 서초구 남부순환로333길 49,서울특별시 서초구 서초동 1430-6,37.48467975,127.0214695
59,반포2동,서울특별시 서초구 피천득산책로1-25,서울특별시 서초구 반포동 117-5,37.47418168,127.0323353
60,반포2동,서울특별시 서초구 피천득산책로1-26,서울특별시 서초구 반포동 117-5,37.47418168,127.0323353
61,반포2동,서울특별시 서초구 피천득산책로1-27,서울특별시 서초구 반포동 117-5,37.47418168,127.0323353
62,반포2동,서울특별시 서초구 피천득산책로1-28,서울특별시 서초구 반포동 117-5,37.47418168,127.0323353
63,반포2동,서울특별시 서초구 피천득산책로1-29,서울특별시 서초구 반포동 117-5,37.47418168,127.0323353
64,반포2동,서울특별시 서초구 피천득산책로1-30,서울특별시 서초구 반포동 117-5,37.47418168,127.0323353
65,반포2동,서울특별시 서초구 피천득산책로1-31,서울특별시 서초구 반포동 117-5,37.47418168,127.0323353
66,반포2동,서울특별시 서초구 피천득산책로1-32,서울특별시 서초구 반포동 117-5,37.47418168,127.0323353
67,반포2동,서울특별시 서초구 피천득산책로1-33,서울특별시 서초구 반포동 117-5,37.47418168,127.0323353
68,반포2동,서울특별시 서초구 피천득산책로1-34,서울특별시 서초구 반포동 117-5,37.47418168,127.0323353
69,서초1동,서울특별시 서초구 남부순환로333길 50,서울특별시 서초구 서초동 1431-11,37.48444663,127.0216082
70,반포2동,서울특별시 서초구 피천득산책로1-35,서울특별시 서초구 반포동 117-17,37.47418168,127.0323353
71,반포2동,서울특별시 서초구 피천득산책로1-36,서울특별시 서초구 반포동 117-11,37.47418168,127.0323353
72,반포2동,서울특별시 서초구 피천득산책로1-37,서울특별시 서초구 반포동 117-11,37.47418168,127.0323353
73,반포2동,서울특별시 서초구 피천득산책로1-38,서울특별시 서초구 반포동 117-11,37.47418168,127.0323353
74,반포2동,서울특별시 서초구 피천득산책로1-39,서울특별시 서초구 반포동 117-11,37.47418168,127.0323353
75,반포2동,서울특별시 서초구 피천득산책로1-40,서울특별시 서초구 반포동 117-11,37.47418168,127.0323353
76,반포2동,서울특별시 서초구 피천득산책로1-41,서울특별시 서초구 반포동 117-12,37.47418168,127.0323353
