보안등위치명,설치개수,소재지도로명주소,소재지지번주소,위도,경도,설치년도,설치형태,관리기관전화번호,관리기관명
부암동,1,,서울특별시 종로구 신영동 218-6,,,,,02-2148-3193,서울특별시 종로구청
부암동,1,,서울특별시 종로구 신영동 218-5 월편,,,,,02-2148-3193,서울특별시 종로구청
부암동,1,,서울특별시 종로구 신영동 232-1,,,,,02-2148-3193,서울특별시 종로구청
부암동,1,,서울특별시 종로구 신영동 234-3 월편,,,,,02-2148-3193,서울특별시 종로구청
부암동,1,,서울특별시 종로구 신영동 235-4,,,,,02-2148-3193,서울특별시 종로구청
부암동,1,,서울특별시 종로구 신영동 236-2,,,,,02-2148-3193,서울특별시 종로구청
부암동,1,,서울특별시 종로구 신영동 239-2,,,,,02-2148-3193,서울특별시 종로구청
부암동,1,,서울특별시 종로구 신영동 239-8 월편,,,,,02-2148-3193,서울특별시 종로구청
부암동,1,,서울특별시 종로구 신영동 239-7,,,,,02-2148-3193,서울특별시 종로구청
부암동,1,,서울특별시 종로구 신영동 235-1,,,,,02-2148-3193,서울특별시 종로구청
부암동,1,,서울특별시 종로구 신영동 235-10,,,,,02-2148-3193,서울특별시 종로구청
부암동,1,,서울특별시 종로구 신영동 235-14,,,,,02-2148-3193,서울특별시 종로구청
부암동,1,,서울특별시 종로구 신영동 231,,,,,02-2148-3193,서울특별시 종로구청
부암동,1,,서울특별시 종로구 신영동 230-1,,,,,02-2148-3193,서울특별시 종로구청
부암동,1,,서울특별시 종로구 신영동 227-2,,,,,02-2148-3193,서울특별시 종로구청
부암동,1,,서울특별시 종로구 신영동 228-4,,,,,02-2148-3193,서울특별시 종로구청
부암동,1,,서울특별시 종로구 신영동 227-5,,,,,02-2148-3193,서울특별시 종로구청
부암동,1,,서울특별시 종로구 신영동 214-16,,,,,02-2148-3193,서울특별시 종로구청
부암동,1,,서울특별시 종로구 신영동 229-16,,,,,02-2148-3193,서울특별시 종로구청
부암동,1,,서울특별시 종로구 신영동 223-1,,,,,02-2148-3193,서울특별시 종로구청
부암동,1,,서울특별시 종로구 신영동 229-19,,,,,02-2148-3193,서울특별시 종로구청
부암동,1,,서울특별시 종로구 신영동 214-15 월편,,,,,02-2148-3193,서울특별시 종로구청
부암동,1,,서울특별시 종로구 신영동 214-15 월편,,,,,02-2148-3193,서울특별시 종로구청
부암동,1,,서울특별시 종로구 신영동 226-7,,,,,02-2148-3193,서울특별시 종로구청
부암동,1,,서울특별시 종로구 신영동 223-2,,,,,02-2148-3193,서울특별시 종로구청
부암동,1,,서울특별시 종로구 신영동 223-2 옆,,,,,02-2148-3193,서울특별시 종로구청
부암동,1,,서울특별시 종로구 신영동 45,,,,,02-2148-3193,서울특별시 종로구청
부암동,1,,서울특별시 종로구 신영동 221-2 앞,,,,,02-2148-3193,서울특별시 종로구청
부암동,1,,서울특별시 종로구 신영동 200-2 검정초등학교앞,,,,,02-2148-3193,서울특별시 종로구청
부암동,1,,서울특별시 종로구 신영동 200-2호,,,,,02-2148-3193,서울특별시 종로구청
부암동,1,,서울특별시 종로구 신영동 201-1 월편,,,,,02-2148-3193,서울특별시 종로구청
부암동,1,,서울특별시 종로구 신영동 205,,,,,02-2148-3193,서울특별시 종로구청
부암동,1,,서울특별시 종로구 신영동 210 옆위쪽,,,,,02-2148-3193,서울특별시 종로구청
부암동,1,,서울특별시 종로구 신영동 179-3,,,,,02-2148-3193,서울특별시 종로구청
부암동,1,,서울특별시 종로구 신영동 179-3 앞,,,,,02-2148-3193,서울특별시 종로구청
부암동,1,,서울특별시 종로구 신영동 179-8 옆,,,,,02-2148-3193,서울특별시 종로구청
부암동,1,,서울특별시 종로구 신영동 179-20 앞,,,,,02-2148-3193,서울특별시 종로구청
부암동,1,,서울특별시 종로구 신영동 176-25,,,,,02-2148-3193,서울특별시 종로구청
