"보안등위치명",설치개수,소재지도로명주소,소재지지번주소,위도,경도,설치년도,설치형태,관리기관전화번호,관리기관명,데이터기준일자
02-04-03,2,서울특별시 도봉구 도당로2길 17,서울특별시 도봉구 쌍문제2동 25-7,127.036036,37.659426,2007-01-26,한전주,02-2091-4083,서울특별시 도봉구청,2017-05-17
02-08-03,1,서울특별시 도봉구 쌍문제2동 715-2,서울특별시 도봉구 쌍문제2동 715-2,127.040867,37.660503,2008-01-01,한전주,02-2091-4083,서울특별시 도봉구청,2017-05-17
02-06-03,1,서울특별시 도봉구 쌍문제2동 36-73,서울특별시 도봉구 쌍문제2동 36-73,127.038386,37.658717,2007-10-29,한전주,02-2091-4083,서울특별시 도봉구청,2017-05-17
02-14-03,1,서울특별시 도봉구 도봉로123길27,서울특별시 도봉구 쌍문제2동 81-240,127.035297,37.653005,2014-07-17,벽부등,02-2091-4083,서울특별시 도봉구청,2017-05-17
02-18-03,1,서울특별시 도봉구 쌍문제2동 55-4,서울특별시 도봉구 쌍문제2동 55-4,127.037624,37.656666,2006-11-17,한전주,02-2091-4083,서울특별시 도봉구청,2017-05-17
02-07-03,1,서울특별시 도봉구 쌍문제2동 195,서울특별시 도봉구 쌍문제2동 195,127.034848,37.659069,2010-04-05,한전주,02-2091-4083,서울특별시 도봉구청,2017-05-17
02-05-03,1,서울특별시 도봉구 방학로5길 64,서울특별시 도봉구 쌍문제2동 29-14,127.037841,37.660081,2008-01-01,한전주,02-2091-4083,서울특별시 도봉구청,2017-05-17
02-11-03,1,서울특별시 도봉구 쌍문제2동 648,서울특별시 도봉구 쌍문제2동 648,127.037845,37.656127,2008-01-01,한전주,02-2091-4083,서울특별시 도봉구청,2017-05-17
02-16-03,1,서울특별시 도봉구 쌍문제2동 81-140,서울특별시 도봉구 쌍문제2동 81-140,127.03457,37.652262,2008-01-01,한전주,02-2091-4083,서울특별시 도봉구청,2017-05-17
02-15-03,1,서울특별시 도봉구 쌍문제2동 81-404,서울특별시 도봉구 쌍문제2동 81-404,127.034319,37.652802,2006-03-31,한전주,02-2091-4083,서울특별시 도봉구청,2017-05-17
02-03-03,1,서울특별시 도봉구 도봉로139길 43,서울특별시 도봉구 쌍문제2동 713-51,127.039223,37.660645,2008-01-01,한전주,02-2091-4083,서울특별시 도봉구청,2017-05-17
02-13-03,1,서울특별시 도봉구 도봉로125길 7,서울특별시 도봉구 쌍문제2동 81-226,127.036886,37.653063,2008-01-01,한전주,02-2091-4083,서울특별시 도봉구청,2017-05-17
02-02-03,1,서울특별시 도봉구 쌍문제2동 8-10,서울특별시 도봉구 쌍문제2동 8-10,127.037599,37.660774,2007-11-20,벽부등,02-2091-4083,서울특별시 도봉구청,2017-05-17
02-20-03,1,서울특별시 도봉구 쌍문제2동 69-3,서울특별시 도봉구 쌍문제2동 69-3,127.03575,37.655469,2008-01-01,전용주,02-2091-4083,서울특별시 도봉구청,2017-05-17
02-10-03,1,서울특별시 도봉구 쌍문동 21-2,서울특별시 도봉구 쌍문제2동 25-46,127.036605,37.658775,2006-02-16,한전주,02-2091-4083,서울특별시 도봉구청,2017-05-17
02-01-03,1,서울특별시 도봉구 도봉로141길 29,서울특별시 도봉구 쌍문제2동 708-1,127.040335,37.661675,2008-01-01,한전주,02-2091-4083,서울특별시 도봉구청,2017-05-17
02-08-04,1,서울특별시 도봉구 쌍문제2동 715-2,서울특별시 도봉구 쌍문제2동 715-2,127.040584,37.660287,2008-01-01,한전주,02-2091-4083,서울특별시 도봉구청,2017-05-17
02-05-04,2,서울특별시 도봉구 쌍문제2동 27-3,서울특별시 도봉구 쌍문제2동 27-3,127.037633,37.660304,2007-03-17,한전주,02-2091-4083,서울특별시 도봉구청,2017-05-17
02-15-04,2,서울특별시 도봉구 도봉로121길39-4,서울특별시 도봉구 쌍문제2동 81-275,127.034052,37.652361,2013-09-12,한전주,02-2091-4083,서울특별시 도봉구청,2017-05-17
02-19-04,2,서울특별시 도봉구 해등로 169,서울특별시 도봉구 쌍문제2동 삼익세라믹아파트,127.03572,37.656739,2008-01-01,한전주,02-2091-4083,서울특별시 도봉구청,2017-05-17
02-07-04,1,서울특별시 도봉구 쌍문제2동 195,서울특별시 도봉구 쌍문제2동 195,127.034593,37.659064,2008-01-01,한전주,02-2091-4083,서울특별시 도봉구청,2017-05-17
02-11-04,1,서울특별시 도봉구 쌍문제2동 668,서울특별시 도봉구 쌍문제2동 668,127.03764,37.656067,2008-01-01,벽부등,02-2091-4083,서울특별시 도봉구청,2017-05-17
02-13-04,1,서울특별시 도봉구 쌍문제2동 81-227,서울특별시 도봉구 쌍문제2동 81-227,127.036705,37.653101,2008-01-01,한전주,02-2091-4083,서울특별시 도봉구청,2017-05-17
02-10-04,1,서울특별시 도봉구 쌍문제2동 25-81,서울특별시 도봉구 쌍문제2동 25-81,127.036912,37.658759,2007-07-18,한전주,02-2091-4083,서울특별시 도봉구청,2017-05-17
02-18-04,1,서울특별시 도봉구 쌍문제2동 70-7,서울특별시 도봉구 쌍문제2동 70-7,127.037773,37.656868,2006-11-17,한전주,02-2091-4083,서울특별시 도봉구청,2017-05-17
02-17-04,1,서울특별시 도봉구 쌍문제2동 80-5,서울특별시 도봉구 쌍문제2동 80-5,127.035469,37.65267,2008-01-01,한전주,02-2091-4083,서울특별시 도봉구청,2017-05-17
02-09-04,1,서울특별시 도봉구 쌍문동 616,서울특별시 도봉구 쌍문제2동 619,127.038803,37.65745,2017-02-01,한전주,02-2091-4083,서울특별시 도봉구청,2017-05-17
02-16-04,1,서울특별시 도봉구 쌍문제2동 81-137,서울특별시 도봉구 쌍문제2동 81-137,127.034433,37.652019,2008-01-01,한전주,02-2091-4083,서울특별시 도봉구청,2017-05-17
02-20-04,1,서울특별시 도봉구 쌍문제2동 72,서울특별시 도봉구 쌍문제2동 72,127.036011,37.655487,2008-01-01,전용주,02-2091-4083,서울특별시 도봉구청,2017-05-17
02-06-04,2,서울특별시 도봉구 방학로3가길 18,서울특별시 도봉구 쌍문제2동 37-3,127.037938,37.658738,2008-01-01,한전주,02-2091-4083,서울특별시 도봉구청,2017-05-17
02-14-04,1,서울특별시 도봉구 쌍문제2동 81-20,서울특별시 도봉구 쌍문제2동 81-20,127.035194,37.653141,2006-12-20,한전주,02-2091-4083,서울특별시 도봉구청,2017-05-17
02-04-04,1,서울특별시 도봉구 도당로2길 21,서울특별시 도봉구 쌍문제2동 25-88,127.036316,37.659436,2006-06-23,한전주,02-2091-4083,서울특별시 도봉구청,2017-05-17
