facility_type,facility_name,latitude,longitude,facility_count,source_name,source_key
CCTV,서울특별시 서초구 청계산로 434,37.4305,127.071,1,CCTV#Uc815#Ubcf4_#Uc11c#Uc6b8#Ud2b9#Ubcc4#Uc2dc.csv,202632100000804195
CCTV,서울특별시 서초구 산불감시,37.4321,127.047,1,CCTV#Uc815#Ubcf4_#Uc11c#Uc6b8#Ud2b9#Ubcc4#Uc2dc.csv,202632100000801550
CCTV,서울특별시 금천구 시흥대로2길 8-41,37.434047,126.905432,5,CCTV#Uc815#Ubcf4_#Uc11c#Uc6b8#Ud2b9#Ubcc4#Uc2dc.csv,202431700000800448
CCTV,서울특별시 금천구 시흥대로2길 60-5,37.434245,126.906744,5,CCTV#Uc815#Ubcf4_#Uc11c#Uc6b8#Ud2b9#Ubcc4#Uc2dc.csv,202431700000800449
CCTV,서울특별시 금천구 시흥대로2길 8-51,37.4343015,126.9047079,2,CCTV#Uc815#Ubcf4_#Uc11c#Uc6b8#Ud2b9#Ubcc4#Uc2dc.csv,202431700000800818
CCTV,서울특별시 금천구 시흥대로2길 8-63,37.434354,126.904018,4,CCTV#Uc815#Ubcf4_#Uc11c#Uc6b8#Ud2b9#Ubcc4#Uc2dc.csv,202431700000800168
CCTV,서울특별시 서초구 새정3길 14,37.4346,127.069,1,CCTV#Uc815#Ubcf4_#Uc11c#Uc6b8#Ud2b9#Ubcc4#Uc2dc.csv,202632100000804624
CCTV,서울특별시 금천구 시흥대로2길 60-5,37.434623,126.9067696,1,CCTV#Uc815#Ubcf4_#Uc11c#Uc6b8#Ud2b9#Ubcc4#Uc2dc.csv,202431700000800817
CCTV,서울특별시 금천구 시흥대로2길 32,37.434695,126.905279,5,CCTV#Uc815#Ubcf4_#Uc11c#Uc6b8#Ud2b9#Ubcc4#Uc2dc.csv,202431700000800051
CCTV,서울특별시 서초구 신원동 44-20,37.4348,127.066,1,CCTV#Uc815#Ubcf4_#Uc11c#Uc6b8#Ud2b9#Ubcc4#Uc2dc.csv,202632100000805057
CCTV,서울특별시 금천구 시흥3동 970-3,37.434817,126.904699,5,CCTV#Uc815#Ubcf4_#Uc11c#Uc6b8#Ud2b9#Ubcc4#Uc2dc.csv,202431700000800511
CCTV,서울특별시 금천구 시흥대로2길 47,37.434837,126.905743,5,CCTV#Uc815#Ubcf4_#Uc11c#Uc6b8#Ud2b9#Ubcc4#Uc2dc.csv,202431700000800328
CCTV,서울특별시 서초구 신원동 25-9,37.435,127.069,1,CCTV#Uc815#Ubcf4_#Uc11c#Uc6b8#Ud2b9#Ubcc4#Uc2dc.csv,202632100000800963
CCTV,서울특별시 금천구 시흥대로2길 60,37.435124,126.906613,4,CCTV#Uc815#Ubcf4_#Uc11c#Uc6b8#Ud2b9#Ubcc4#Uc2dc.csv,202431700000800052
CCTV,서울특별시 서초구 신원동 2-1,37.4354,127.066,1,CCTV#Uc815#Ubcf4_#Uc11c#Uc6b8#Ud2b9#Ubcc4#Uc2dc.csv,202632100000800964
CCTV,서울특별시 서초구 신원동 9-26,37.4354,127.068,1,CCTV#Uc815#Ubcf4_#Uc11c#Uc6b8#Ud2b9#Ubcc4#Uc2dc.csv,202632100000800966
CCTV,서울특별시 서초구 신원동 9-2,37.4356,127.068,1,CCTV#Uc815#Ubcf4_#Uc11c#Uc6b8#Ud2b9#Ubcc4#Uc2dc.csv,202632100000800398
CCTV,서울특별시 금천구 시흥대로2나길 28,37.436172,126.905213,5,CCTV#Uc815#Ubcf4_#Uc11c#Uc6b8#Ud2b9#Ubcc4#Uc2dc.csv,202431700000800053
CCTV,서울특별시 금천구 시흥대로6길 35-15,37.436847,126.9047894,1,CCTV#Uc815#Ubcf4_#Uc11c#Uc6b8#Ud2b9#Ubcc4#Uc2dc.csv,202431700000800835
CCTV,서울특별시 서초구 양재2동 525-1,37.4373,127.063,1,CCTV#Uc815#Ubcf4_#Uc11c#Uc6b8#Ud2b9#Ubcc4#Uc2dc.csv,202632100000800956
CCTV,서울특별시 금천구 시흥대로6길 35-25,37.43738,126.904692,1,CCTV#Uc815#Ubcf4_#Uc11c#Uc6b8#Ud2b9#Ubcc4#Uc2dc.csv,202431700000800731
CCTV,서울특별시 금천구 시흥3동 산4-31,37.437484,126.904853,1,CCTV#Uc815#Ubcf4_#Uc11c#Uc6b8#Ud2b9#Ubcc4#Uc2dc.csv,202431700000800531
CCTV,서울특별시 금천구 시흥3동 산4-31,37.437583,126.904846,1,CCTV#Uc815#Ubcf4_#Uc11c#Uc6b8#Ud2b9#Ubcc4#Uc2dc.csv,202431700000800532
CCTV,서울특별시 금천구 시흥대로12길 10-5,37.4382257,126.9048156,5,CCTV#Uc815#Ubcf4_#Uc11c#Uc6b8#Ud2b9#Ubcc4#Uc2dc.csv,202431700000800419
CCTV,서울특별시 금천구 시흥대로 50,37.4383235,126.903344,5,CCTV#Uc815#Ubcf4_#Uc11c#Uc6b8#Ud2b9#Ubcc4#Uc2dc.csv,202431700000800888
CCTV,서울특별시 금천구 시흥대로12길 13,37.43904,126.904086,4,CCTV#Uc815#Ubcf4_#Uc11c#Uc6b8#Ud2b9#Ubcc4#Uc2dc.csv,202431700000800679
CCTV,서울특별시 금천구 시흥대로12길 45,37.439314,126.906031,4,CCTV#Uc815#Ubcf4_#Uc11c#Uc6b8#Ud2b9#Ubcc4#Uc2dc.csv,202431700000800106
CCTV,서울특별시 금천구 시흥대로16길 20,37.439441,126.905211,3,CCTV#Uc815#Ubcf4_#Uc11c#Uc6b8#Ud2b9#Ubcc4#Uc2dc.csv,202431700000800690
CCTV,서울특별시 금천구 시흥3동 959-2,37.439757,126.904854,2,CCTV#Uc815#Ubcf4_#Uc11c#Uc6b8#Ud2b9#Ubcc4#Uc2dc.csv,202431700000800505
CCTV,서울특별시 금천구 시흥대로12길 72,37.439947,126.907158,3,CCTV#Uc815#Ubcf4_#Uc11c#Uc6b8#Ud2b9#Ubcc4#Uc2dc.csv,202431700000800105
CCTV,서울특별시 금천구 시흥대로16길 27,37.439952,126.905962,4,CCTV#Uc815#Ubcf4_#Uc11c#Uc6b8#Ud2b9#Ubcc4#Uc2dc.csv,202431700000800683
CCTV,서울특별시 금천구 시흥대로 53,37.440095,126.901464,3,CCTV#Uc815#Ubcf4_#Uc11c#Uc6b8#Ud2b9#Ubcc4#Uc2dc.csv,202431700000800169
CCTV,서울특별시 서초구 양재2동 산114,37.4403,127.044,1,CCTV#Uc815#Ubcf4_#Uc11c#Uc6b8#Ud2b9#Ubcc4#Uc2dc.csv,202632100000801553
CCTV,서울특별시 금천구 시흥대로18길 10,37.440351,126.904216,4,CCTV#Uc815#Ubcf4_#Uc11c#Uc6b8#Ud2b9#Ubcc4#Uc2dc.csv,202431700000800678
CCTV,서울특별시 금천구 시흥대로18길 39,37.440392,126.906038,1,CCTV#Uc815#Ubcf4_#Uc11c#Uc6b8#Ud2b9#Ubcc4#Uc2dc.csv,202431700000800684
CCTV,서울특별시 서초구 양재2동 469-3,37.4404,127.059,1,CCTV#Uc815#Ubcf4_#Uc11c#Uc6b8#Ud2b9#Ubcc4#Uc2dc.csv,202632100000801040
CCTV,서울특별시 금천구 시흥대로18길 65,37.440409,126.907304,4,CCTV#Uc815#Ubcf4_#Uc11c#Uc6b8#Ud2b9#Ubcc4#Uc2dc.csv,202431700000800576
