자치구,법정동,전체거래건수,평균전용면적(m2),평균평수,전세거래건수,전세평균보증금(만원),전세평당보증금(만원),월세거래건수,월세평균보증금(만원),월세평균월세금(만원),월세평당월세금(만원)
강서구,"마곡동",1176,23.5,7.1,124,22048.4,2462.0,1052,6207.8,55.7,8.1
송파구,"문정동",691,30.7,9.3,93,33379.0,2803.7,598,12027.3,66.5,7.8
금천구,"독산동",553,31.5,9.5,204,24348.5,2675.0,349,8607.5,58.5,6.8
금천구,"가산동",513,26.9,8.1,92,18438.3,2550.5,421,6256.7,51.9,6.8
강서구,"화곡동",488,25.6,7.8,137,18169.3,2475.8,351,4923.6,58.1,8.0
구로구,"구로동",448,28.4,8.6,51,22416.8,2128.6,397,4817.5,56.0,7.4
송파구,"방이동",444,25.0,7.6,75,29493.0,3360.9,369,7361.3,83.1,11.4
강서구,"등촌동",441,29.5,8.9,124,24054.6,2710.8,317,10071.8,51.7,6.7
관악구,"봉천동",434,22.3,6.7,48,19380.0,2854.8,386,6149.0,51.8,8.5
마포구,"성산동",389,21.2,6.4,37,31648.9,3017.6,352,5590.6,60.8,10.8
동대문구,"장안동",348,41.2,12.5,96,26928.9,2520.3,252,5040.4,108.3,8.0
서초구,"서초동",346,28.7,8.7,84,28808.5,3051.9,262,6717.9,93.2,11.3
강남구,"역삼동",318,24.5,7.4,50,25836.2,3247.0,268,7736.6,77.4,11.4
강동구,"천호동",305,27.8,8.4,34,21990.1,2379.1,271,6683.4,61.3,7.7
관악구,"신림동",275,21.9,6.6,31,17354.5,2530.3,244,4679.9,60.2,9.5
강남구,"자곡동",247,26.9,8.1,33,28242.4,2493.6,214,7265.6,59.0,7.7
중구,"황학동",246,33.3,10.1,119,33864.6,3094.3,127,11715.3,71.7,8.4
은평구,"진관동",235,23.7,7.2,16,23908.1,2012.9,219,2909.6,55.0,8.1
종로구,"숭인동",234,25.3,7.7,49,22218.4,3052.4,185,3413.8,68.3,9.2
구로구,"오류동",234,31.9,9.7,62,22522.8,2054.4,172,4481.6,58.2,6.9
영등포구,"영등포동2가",215,25.4,7.7,67,24286.4,3115.6,148,9568.0,66.7,9.0
마포구,"상암동",181,23.1,7.0,13,24210.0,2394.2,168,3141.3,64.8,9.9
동대문구,"답십리동",171,31.1,9.4,27,32293.5,2875.5,144,7993.7,63.8,8.7
영등포구,"영등포동1가",168,22.6,6.8,45,19805.6,3101.0,123,7653.2,63.5,9.2
양천구,"목동",165,55.9,16.9,71,60850.0,2838.7,94,19948.8,113.0,8.0
동대문구,"용두동",156,27.5,8.3,20,22645.0,2706.8,136,3772.8,77.1,9.4
영등포구,"영등포동7가",153,25.7,7.8,33,24837.9,3117.9,120,9436.3,49.0,6.9
영등포구,"여의도동",153,37.4,11.3,47,56144.1,4055.2,106,5226.7,120.0,12.3
영등포구,"당산동",151,25.2,7.6,36,22787.1,2737.1,115,9094.4,37.8,5.5
강서구,"가양동",150,28.3,8.6,33,22643.5,2596.2,117,9827.9,49.1,5.9
강서구,"방화동",135,26.7,8.1,32,21156.3,2015.8,103,2011.4,44.2,6.2
광진구,"화양동",133,20.3,6.1,17,20101.9,3645.0,116,4969.3,78.8,13.0
도봉구,"창동",129,39.1,11.8,36,25140.3,1818.8,93,4676.3,68.2,6.6
서대문구,"대현동",125,19.5,5.9,11,19131.8,3521.3,114,3237.9,84.2,15.1
마포구,"공덕동",120,28.7,8.7,56,27763.8,2990.7,64,7638.3,66.3,8.6
은평구,"응암동",118,28.5,8.6,39,19061.5,2399.2,79,3760.8,53.6,6.8
동대문구,"전농동",114,32.0,9.7,34,38339.3,3162.9,80,3482.0,115.4,14.2
강서구,"염창동",114,27.4,8.3,31,26005.5,2893.0,83,10012.3,58.2,7.5
영등포구,"당산동5가",111,24.7,7.5,12,20450.0,3089.0,99,7536.9,66.5,9.1
금천구,"시흥동",107,27.0,8.2,52,17342.3,2195.9,55,5000.5,51.5,7.2
중랑구,"망우동",104,51.6,15.6,52,38374.0,2205.0,52,8951.8,78.4,6.3
영등포구,"신길동",104,25.8,7.8,16,25731.3,2955.0,88,5238.6,82.2,10.8
중랑구,"상봉동",103,32.2,9.7,22,23617.0,2460.1,81,9356.9,62.4,6.5
영등포구,"도림동",103,46.1,13.9,43,36212.3,2889.4,60,7980.0,92.0,6.6
양천구,"신정동",101,47.5,14.4,43,39140.4,2530.0,58,9887.9,85.8,7.8
성동구,"용답동",99,25.9,7.8,16,19643.8,2858.6,83,7075.3,56.3,7.2
동대문구,"신설동",97,21.9,6.6,15,20693.3,3222.7,82,5530.1,60.9,9.3
강동구,"길동",97,26.6,8.0,17,21077.1,2606.0,80,6169.3,68.1,8.4
영등포구,"양평동2가",95,35.4,10.7,42,31299.6,2428.1,53,7613.2,73.2,9.3
송파구,"거여동",93,30.2,9.1,32,30209.8,2795.8,61,10493.8,59.6,6.9
광진구,"구의동",90,28.4,8.6,11,25103.6,2480.1,79,3113.6,70.6,8.7
강북구,"수유동",90,26.4,8.0,16,22793.8,2465.3,74,1416.2,87.1,13.0
마포구,"도화동",89,35.7,10.8,22,34596.2,2478.6,67,4940.3,95.5,9.4
구로구,"신도림동",89,43.2,13.1,35,38602.9,2940.1,54,10844.4,91.8,8.6
광진구,"자양동",88,31.2,9.5,22,31210.0,3059.1,66,5604.5,127.8,13.2
영등포구,"영등포동3가",88,23.1,7.0,24,20464.2,3005.9,64,7848.3,55.2,8.0
성동구,"도선동",87,23.4,7.1,17,25364.6,3577.3,70,8532.0,81.8,11.6
송파구,"잠실동",86,28.3,8.6,21,28488.1,3118.0,65,5205.8,93.0,11.4
도봉구,"도봉동",80,37.9,11.5,26,29955.8,1786.6,54,3972.6,71.5,7.9
은평구,"대조동",80,24.1,7.3,20,14811.1,2612.2,60,4505.3,50.5,8.0
용산구,"한강로2가",78,36.7,11.1,32,34842.5,3186.9,46,10976.1,126.9,10.8
동대문구,"휘경동",77,18.7,5.7,9,16555.6,3209.7,68,2589.7,77.0,14.0
영등포구,"양평동6가",74,29.8,9.0,36,32871.9,3469.6,38,21584.2,32.4,3.8
영등포구,"문래동6가",74,57.9,17.5,39,40636.3,2156.6,35,17940.0,67.7,4.8
도봉구,"방학동",71,20.2,6.1,14,12757.1,2496.5,57,3143.0,53.7,8.7
광진구,"중곡동",70,18.9,5.7,6,25091.7,3265.7,64,3728.1,67.0,12.7
동대문구,"청량리동",68,23.4,7.1,17,26258.2,3569.5,51,3299.6,96.7,13.8
서대문구,"연희동",68,25.2,7.6,18,19527.8,2000.0,50,4712.0,57.9,9.5
영등포구,"양평동3가",68,45.5,13.7,30,37946.0,2545.2,38,18156.1,57.1,5.5
성동구,"성수동1가",66,31.0,9.4,16,30004.9,2691.5,50,4628.0,102.2,13.8
영등포구,"당산동3가",66,35.3,10.7,16,38526.9,3177.5,50,15657.0,54.0,6.9
동작구,"노량진동",64,22.0,6.7,14,21111.4,3107.3,50,5111.0,66.0,10.2
용산구,"문배동",63,39.5,12.0,33,39594.7,3179.1,30,11680.0,84.0,8.6
마포구,"신공덕동",63,20.5,6.2,8,26653.8,2753.4,55,4492.7,57.1,10.2
영등포구,"당산동6가",61,30.5,9.2,20,30383.0,3092.7,41,11797.4,66.0,7.0
강동구,"강일동",58,21.3,6.4,6,14983.3,1789.7,52,1461.5,53.6,8.8
강남구,"대치동",57,26.5,8.0,16,28031.3,3784.4,41,5897.6,93.3,12.2
강동구,"성내동",57,24.3,7.4,22,20861.8,3141.8,35,9250.6,62.2,8.8
마포구,"아현동",55,30.1,9.1,6,29216.7,2883.0,49,6291.8,62.3,7.3
중구,"중림동",52,32.9,10.0,18,32475.3,3641.1,34,2915.9,136.0,16.9
중구,"신당동",52,23.0,7.0,15,21309.3,2893.6,37,4463.5,71.1,11.2
마포구,"노고산동",51,23.5,7.1,4,19775.0,2357.2,47,3023.4,94.4,13.6
영등포구,"양평동5가",51,32.8,9.9,17,28568.2,2801.3,34,16082.4,58.2,6.2
노원구,"상계동",49,28.4,8.6,8,11552.3,1454.0,41,1597.6,58.1,7.0
강동구,"명일동",49,29.4,8.9,21,24997.6,2660.7,28,5072.6,67.3,10.1
중랑구,"면목동",48,32.5,9.8,20,24698.4,2558.9,28,8617.1,58.6,6.1
은평구,"녹번동",47,23.8,7.2,10,20857.0,2475.2,37,3349.5,50.4,7.8
강남구,"삼성동",46,27.4,8.3,13,28353.8,3387.6,33,5372.7,110.8,13.5
성동구,"성수동2가",45,27.0,8.1,22,24560.5,2891.9,23,4569.6,73.6,11.9
서초구,"신원동",45,26.9,8.1,8,30653.8,2675.8,37,4851.4,66.0,8.8
마포구,"서교동",43,23.2,7.0,13,21346.2,3569.7,30,5033.3,83.5,12.9
구로구,"고척동",43,33.9,10.3,3,12600.0,2025.5,40,4701.3,48.9,5.2
강북구,"미아동",42,22.9,6.9,2,24000.0,2761.9,40,2160.0,79.8,11.5
동대문구,"이문동",41,21.1,6.4,8,13712.5,1980.9,33,3048.5,62.7,9.9
영등포구,"당산동1가",41,32.9,10.0,16,28651.9,3441.8,25,19019.6,38.2,4.2
용산구,"원효로1가",40,29.4,8.9,19,33041.1,3426.3,21,6875.7,86.1,10.7
강남구,"세곡동",39,38.2,11.6,17,33611.8,2572.6,22,8748.5,79.8,8.1
영등포구,"영등포동4가",38,27.2,8.2,6,36591.7,3754.8,32,7035.9,71.5,8.4
동작구,"신대방동",38,40.8,12.3,13,25826.2,1990.7,25,8120.0,66.0,5.7
광진구,"군자동",37,18.0,5.4,4,25212.5,3447.4,33,6784.8,68.0,13.6
서대문구,"창천동",37,22.0,6.7,8,13380.0,2035.9,29,2672.4,82.2,13.2
영등포구,"대림동",37,26.0,7.9,5,17460.0,1872.2,32,4140.6,52.1,6.9
관악구,"남현동",37,22.7,6.9,7,13642.9,2425.3,30,6410.8,48.9,7.4
용산구,"한강로1가",36,41.6,12.6,21,39219.3,3019.9,15,18466.7,66.5,5.8
용산구,"원효로2가",35,29.4,8.9,12,38454.2,4136.1,23,5173.9,149.3,17.3
강남구,"개포동",34,31.4,9.5,9,20773.9,2381.1,25,3168.0,77.1,8.1
서초구,"양재동",33,29.1,8.8,7,37485.7,3277.4,26,2573.1,65.7,8.0
서초구,"우면동",33,20.5,6.2,7,13442.9,2351.2,26,3869.2,61.2,9.7
종로구,"연지동",32,20.9,6.3,8,22173.8,3687.1,24,6610.0,45.8,7.8
강서구,"공항동",32,29.0,8.8,6,17416.7,2030.9,26,4442.3,80.4,9.2
영등포구,"양평동4가",31,32.9,10.0,14,29367.9,3387.5,17,16671.8,48.8,4.3
성동구,"하왕십리동",30,29.2,8.8,4,25230.0,2907.6,26,8769.2,76.2,8.7
성동구,"행당동",30,26.1,7.9,6,26475.0,2813.2,24,8225.0,57.0,7.5
영등포구,"영등포동8가",30,28.8,8.7,6,29616.7,3110.9,24,10720.2,64.6,7.3
종로구,"내수동",29,36.1,10.9,7,25285.7,2310.8,22,4909.1,97.1,9.1
은평구,"신사동",27,35.1,10.6,10,28665.0,1826.0,17,4911.8,70.6,10.4
마포구,"합정동",27,23.9,7.2,5,28580.0,4084.8,22,6500.0,92.1,12.9
영등포구,"문래동3가",27,63.6,19.3,14,42363.1,2561.0,13,19592.3,139.8,10.0
영등포구,"당산동2가",27,32.2,9.8,17,24818.8,2358.5,10,14960.0,85.5,9.9
동작구,"대방동",27,22.3,6.8,3,23473.3,2734.2,24,6308.3,45.2,7.3
송파구,"석촌동",27,25.5,7.7,7,24377.1,2946.0,20,5690.0,64.5,9.6
성동구,"상왕십리동",26,30.0,9.1,0,0,0,26,10384.6,38.8,4.3
영등포구,"당산동4가",26,23.9,7.2,5,17000.0,1780.3,21,2500.0,56.5,9.4
영등포구,"영등포동6가",26,27.4,8.3,10,21760.0,2830.0,16,9655.8,49.6,6.6
동작구,"사당동",26,22.5,6.8,4,20787.5,2284.4,22,9395.5,46.7,7.8
강북구,"번동",25,26.4,8.0,0,0,0,25,2856.0,58.6,7.6
