자치구,법정동 코드,법정동,지번,전체주소,단지명,임대구분,보증금(만원),월세(만원),전용면적(m2),평수,층,건축년도,계약년월
종로구,11110,"창신동","255-1","서울특별시 종로구 창신동 255-1","(255-1)",전세,22000,0,19.34,5.9,11,2021,202607
종로구,11110,"숭인동","201-7","서울특별시 종로구 숭인동 201-7","아폴리움 오피스텔",월세,500,67,15.2,4.6,10,2016,202607
종로구,11110,"숭인동","76","서울특별시 종로구 숭인동 76","롯데캐슬 천지인",전세,24000,0,39.6,12,3,2004,202607
종로구,11110,"숭인동","317-29","서울특별시 종로구 숭인동 317-29","(317-29)",전세,21500,0,19.96,6,9,2020,202607
종로구,11110,"연지동","111","서울특별시 종로구 연지동 111","주함해븐타워 3동",월세,60,37,20.19,6.1,5,2019,202607
종로구,11110,"원남동","66-6","서울특별시 종로구 원남동 66-6","휴스턴오피스텔 창경궁 C",월세,1000,110,21.99,6.7,9,2022,202607
종로구,11110,"숭인동","1425","서울특별시 종로구 숭인동 1425","한라 운종가",전세,21500,0,22.55,6.8,8,2022,202607
종로구,11110,"종로5가","138-4","서울특별시 종로구 종로5가 138-4","종로5가역 하이뷰더광장",월세,5000,75,18.97,5.7,16,2022,202607
종로구,11110,"연지동","74-12","서울특별시 종로구 연지동 74-12","대보213",월세,100,50,20.2,6.1,13,2024,202607
종로구,11110,"숭인동","217-16","서울특별시 종로구 숭인동 217-16","블루카운티 숭인Ⅰ",전세,23500,0,26.97,8.2,5,2020,202607
종로구,11110,"연지동","74-12","서울특별시 종로구 연지동 74-12","대보213",월세,100,50,20.2,6.1,13,2024,202607
종로구,11110,"원남동","66-17","서울특별시 종로구 원남동 66-17","영스테이",월세,100,60,29.23,8.8,4,2024,202607
종로구,11110,"숭인동","1399","서울특별시 종로구 숭인동 1399","종로 더블유 스퀘어 오피스텔",월세,100,31,20.49,6.2,15,2023,202607
종로구,11110,"홍지동","104-21","서울특별시 종로구 홍지동 104-21","세검정아트오피스텔",월세,10000,20,43.35,13.1,2,2005,202607
종로구,11110,"연지동","74-12","서울특별시 종로구 연지동 74-12","대보213",월세,100,49,20.2,6.1,6,2024,202607
종로구,11110,"연지동","74-12","서울특별시 종로구 연지동 74-12","대보213",월세,100,49,20.2,6.1,7,2024,202607
종로구,11110,"연지동","74-12","서울특별시 종로구 연지동 74-12","대보213",월세,100,51,21.05,6.4,8,2024,202607
종로구,11110,"숭인동","1399","서울특별시 종로구 숭인동 1399","종로 더블유 스퀘어 오피스텔",월세,100,35,25.38,7.7,2,2023,202607
종로구,11110,"원남동","66-17","서울특별시 종로구 원남동 66-17","영스테이",월세,100,62,29.98,9.1,3,2024,202607
종로구,11110,"원남동","66-17","서울특별시 종로구 원남동 66-17","영스테이",월세,100,61,27.96,8.5,8,2024,202607
종로구,11110,"숭인동","1399","서울특별시 종로구 숭인동 1399","종로 더블유 스퀘어 오피스텔",월세,100,34,23.94,7.2,4,2023,202607
종로구,11110,"연지동","111","서울특별시 종로구 연지동 111","주함해븐타워 3동",월세,60,43,22.37,6.8,5,2019,202607
종로구,11110,"숭인동","1399","서울특별시 종로구 숭인동 1399","종로 더블유 스퀘어 오피스텔",월세,100,30,20.49,6.2,8,2023,202607
종로구,11110,"연지동","231","서울특별시 종로구 연지동 231","대보 마로니에시티",월세,60,39,21.41,6.5,9,2021,202607
종로구,11110,"연지동","231","서울특별시 종로구 연지동 231","대보 마로니에시티",월세,60,39,21.41,6.5,13,2021,202607
종로구,11110,"숭인동","296-19","서울특별시 종로구 숭인동 296-19","삼전솔하임2차",월세,1000,60,18.87,5.7,2,2012,202607
종로구,11110,"숭인동","217-16","서울특별시 종로구 숭인동 217-16","블루카운티 숭인Ⅰ",전세,24000,0,26.73,8.1,5,2020,202607
종로구,11110,"숭인동","1399","서울특별시 종로구 숭인동 1399","종로 더블유 스퀘어 오피스텔",월세,100,42,28.91,8.7,7,2023,202607
종로구,11110,"숭인동","178-100","서울특별시 종로구 숭인동 178-100","서도휴파크",월세,6806,6,17.92,5.4,6,2022,202607
종로구,11110,"종로5가","138-4","서울특별시 종로구 종로5가 138-4","종로5가역 하이뷰더광장",전세,22050,0,18.97,5.7,7,2022,202607
종로구,11110,"효제동","193-1","서울특별시 종로구 효제동 193-1","BS타워",전세,16500,0,19.83,6,5,2019,202607
종로구,11110,"숭인동","1425","서울특별시 종로구 숭인동 1425","한라 운종가",월세,3000,152,39.07,11.8,8,2022,202607
종로구,11110,"내수동","73","서울특별시 종로구 내수동 73","경희궁의 아침 4단지",전세,21000,0,28.24,8.5,12,2004,202607
종로구,11110,"교북동","126","서울특별시 종로구 교북동 126","경희궁자이",월세,29000,12,25.91,7.8,4,2017,202607
종로구,11110,"숭인동","1408","서울특별시 종로구 숭인동 1408","알 트라몬토 오피스텔",월세,5000,150,38.97,11.8,6,2023,202607
종로구,11110,"숭인동","178-100","서울특별시 종로구 숭인동 178-100","서도휴파크",월세,1099,32,17.92,5.4,8,2022,202607
종로구,11110,"관철동","155","서울특별시 종로구 관철동 155","종로1번가",월세,1000,100,23.86,7.2,12,2005,202607
종로구,11110,"숭인동","76","서울특별시 종로구 숭인동 76","롯데캐슬 천지인",월세,1050,82,39.6,12,18,2004,202607
종로구,11110,"숭인동","1368","서울특별시 종로구 숭인동 1368","숭인한성아펠시티",월세,17000,40,20.51,6.2,16,2021,202607
종로구,11110,"숭인동","313-12","서울특별시 종로구 숭인동 313-12","디세븐",월세,1000,70,15.04,4.5,5,2014,202607
종로구,11110,"숭인동","1367","서울특별시 종로구 숭인동 1367","경일오피스텔",월세,1000,73,22.42,6.8,11,2005,202607
종로구,11110,"익선동","34","서울특별시 종로구 익선동 34","BIZ-WELL 종로 오피스텔",월세,1000,75,23.14,7,8,2004,202607
종로구,11110,"부암동","129-8","서울특별시 종로구 부암동 129-8","타임730오피스텔",월세,1000,65,31.27,9.5,5,2002,202607
종로구,11110,"숭인동","1425","서울특별시 종로구 숭인동 1425","한라 운종가",월세,15000,34,21.14,6.4,9,2022,202607
종로구,11110,"내수동","75","서울특별시 종로구 내수동 75","용비어천가",전세,26000,0,37.56,11.4,12,2004,202607
종로구,11110,"숭인동","178-100","서울특별시 종로구 숭인동 178-100","서도휴파크",월세,7268,6,19.52,5.9,6,2022,202607
종로구,11110,"숭인동","1421-1","서울특별시 종로구 숭인동 1421-1","종로 동광모닝스카이",월세,1000,60,19.95,6,6,2013,202607
종로구,11110,"숭인동","317-48","서울특별시 종로구 숭인동 317-48","헤스티아",전세,11900,0,15.47,4.7,9,2020,202607
종로구,11110,"숭인동","1419-2","서울특별시 종로구 숭인동 1419-2","에비뉴 청계 Ⅰ",월세,1000,90,21.19,6.4,5,2023,202607
종로구,11110,"숭인동","76","서울특별시 종로구 숭인동 76","롯데캐슬 천지인",월세,1000,95,39.6,12,10,2004,202607
종로구,11110,"숭인동","243","서울특별시 종로구 숭인동 243","블루빌",월세,5000,120,46.36,14,2,2017,202607
종로구,11110,"숭인동","313-17","서울특별시 종로구 숭인동 313-17","우평 원더라움 스투디오",전세,26500,0,24.79,7.5,14,2022,202607
종로구,11110,"숭인동","1425","서울특별시 종로구 숭인동 1425","한라 운종가",전세,19900,0,21.14,6.4,7,2022,202607
종로구,11110,"숭인동","1392","서울특별시 종로구 숭인동 1392","(1392)",월세,1000,65,18.64,5.6,9,2013,202607
