자치구,법정동,전체거래건수,평균전용면적(m2),평균평수,전세거래건수,전세평균보증금(만원),전세평당보증금(만원),월세거래건수,월세평균보증금(만원),월세평균월세금(만원),월세평당월세금(만원)
강서구,"화곡동",1142,39.7,12.0,357,17169.8,1556.1,785,8355.5,44.5,4.3
양천구,"목동",602,41.5,12.6,296,21096.3,1776.3,306,11439.5,42.8,4.0
송파구,"삼전동",553,39.1,11.8,155,26779.2,2331.5,398,11403.1,51.7,5.1
송파구,"석촌동",532,38.4,11.6,130,24604.3,2154.9,402,12460.2,50.4,5.0
관악구,"신림동",530,34.7,10.5,133,19052.3,1740.0,397,9056.4,46.1,5.8
강동구,"천호동",517,34.6,10.5,179,24169.4,2469.0,338,11821.9,43.1,4.9
서초구,"방배동",481,43.4,13.1,236,37720.7,2863.6,245,15750.4,62.4,6.1
송파구,"잠실동",469,39.2,11.8,155,27172.1,2362.4,314,11369.9,50.1,4.9
강남구,"역삼동",460,34.6,10.5,162,28412.1,3162.9,298,9339.4,92.3,9.1
광진구,"자양동",449,35.2,10.6,275,27158.3,2740.8,174,10473.3,65.8,7.8
송파구,"송파동",434,37.4,11.3,106,28247.9,2400.7,328,12351.3,45.8,4.9
관악구,"봉천동",431,39.0,11.8,111,22845.9,1955.5,320,10608.9,50.1,5.7
광진구,"중곡동",405,39.1,11.8,167,25115.0,2323.0,238,10173.3,48.6,4.6
동작구,"상도동",397,40.9,12.4,164,24156.8,1915.6,233,10167.5,48.7,5.2
서초구,"양재동",382,40.7,12.3,170,34299.7,2721.0,212,11006.1,56.9,5.9
송파구,"방이동",382,43.1,13.0,128,28404.4,2120.0,254,11561.6,55.4,5.5
광진구,"구의동",350,37.8,11.4,128,27183.2,2366.9,222,12111.6,45.5,5.0
중랑구,"면목동",342,36.5,11.0,163,23463.9,2277.1,179,11601.5,50.3,5.2
강동구,"성내동",339,38.1,11.5,106,25061.8,2250.9,233,12826.9,47.8,4.8
강북구,"수유동",336,42.0,12.7,80,15810.8,1216.1,256,5548.6,42.9,3.7
동작구,"사당동",323,37.8,11.4,124,26830.6,2331.6,199,10148.2,48.0,5.3
양천구,"신월동",318,40.5,12.3,156,14625.1,1338.9,162,5179.1,46.9,4.1
금천구,"독산동",301,35.9,10.9,127,20757.6,2023.2,174,10935.1,48.0,5.1
강남구,"논현동",273,40.8,12.3,93,30067.3,2873.1,180,9479.4,102.7,9.2
은평구,"불광동",271,41.5,12.5,148,20317.7,1622.9,123,6710.6,45.7,4.6
송파구,"문정동",256,37.2,11.2,77,27423.1,2369.3,179,11541.9,46.0,5.2
송파구,"가락동",254,36.7,11.1,64,26142.8,2134.0,190,10404.4,50.6,6.0
마포구,"망원동",245,36.8,11.1,113,24261.8,2361.7,132,9751.8,60.5,6.1
금천구,"시흥동",245,40.2,12.2,110,18275.5,1686.5,135,8083.7,42.0,3.9
서초구,"서초동",238,39.7,12.0,108,37363.0,3338.7,130,14821.6,68.0,6.6
강동구,"암사동",237,36.8,11.1,91,25203.2,2261.4,146,12087.8,39.5,4.7
양천구,"신정동",230,38.7,11.7,99,20495.1,1909.7,131,8519.2,50.5,5.4
마포구,"성산동",226,38.6,11.7,85,26074.7,2335.4,141,10530.3,46.8,4.7
성북구,"정릉동",221,42.7,12.9,58,17161.6,1140.0,163,6446.3,45.1,4.2
중랑구,"상봉동",201,30.9,9.3,71,22290.4,2562.9,130,14241.7,36.6,4.4
서초구,"반포동",198,55.8,16.9,81,31351.2,2502.1,117,13095.0,169.7,8.4
강서구,"등촌동",196,36.4,11.0,65,20207.0,1848.3,131,12513.3,44.7,5.0
중구,"신당동",194,41.1,12.4,90,31824.4,2423.0,104,8419.6,63.4,6.6
은평구,"갈현동",193,42.8,12.9,70,19284.2,1501.1,123,9510.0,43.2,4.1
강남구,"대치동",191,42.5,12.8,56,34372.9,2676.6,135,10846.9,89.0,7.5
강북구,"미아동",188,43.0,13.0,78,15053.7,1107.1,110,5388.1,53.2,5.6
구로구,"개봉동",187,40.7,12.3,67,16381.7,1454.9,120,6747.5,42.8,3.9
마포구,"합정동",183,39.2,11.8,89,25088.9,2137.3,94,8491.6,63.2,6.9
성북구,"장위동",177,45.1,13.6,123,18382.8,1428.1,54,7037.3,43.8,4.1
은평구,"역촌동",177,44.9,13.6,64,19793.0,1615.5,113,9390.7,43.1,3.6
중랑구,"중화동",175,39.2,11.8,75,22483.7,2055.4,100,9326.9,43.4,4.1
은평구,"응암동",175,39.7,12.0,66,18846.9,1713.2,109,8990.2,52.2,4.9
은평구,"녹번동",171,42.4,12.8,88,20250.6,1751.6,83,9377.5,53.9,4.9
강남구,"개포동",169,43.5,13.2,83,32064.9,2463.0,86,17051.9,65.7,5.7
강동구,"길동",165,35.2,10.7,51,25308.1,2256.7,114,10900.0,48.9,6.2
구로구,"구로동",161,36.2,11.0,56,20142.5,1787.1,105,7457.0,47.1,5.0
서대문구,"북가좌동",160,46.8,14.2,48,18855.3,1302.4,112,8279.5,47.6,3.8
마포구,"연남동",159,34.5,10.4,29,25677.7,2331.9,130,6222.9,75.4,8.8
영등포구,"신길동",159,36.7,11.1,81,23896.4,2414.6,78,7762.9,49.6,5.5
마포구,"서교동",155,36.6,11.1,39,27862.8,2183.3,116,7823.0,75.8,9.8
도봉구,"창동",148,42.5,12.8,67,17218.4,1447.5,81,8431.5,47.0,4.0
노원구,"상계동",145,40.2,12.1,61,14370.5,1320.5,84,6567.3,40.4,4.0
중랑구,"묵동",142,37.5,11.3,56,20835.3,1789.2,86,8784.6,41.8,4.7
동대문구,"장안동",140,39.2,11.9,47,24370.0,2185.2,93,9106.3,49.8,5.2
도봉구,"쌍문동",135,45.1,13.7,39,15471.5,1234.2,96,8100.0,36.3,3.0
용산구,"후암동",134,50.2,15.2,88,26605.9,2172.6,46,12343.5,101.3,5.9
서대문구,"홍은동",134,41.3,12.5,42,17871.4,1413.4,92,6346.6,37.1,3.8
광진구,"화양동",132,28.5,8.6,32,26545.8,3271.3,100,3519.6,63.8,9.3
강서구,"공항동",132,32.5,9.8,59,20181.6,2074.4,73,7596.0,53.1,6.5
은평구,"대조동",127,43.5,13.2,62,19408.5,1401.5,65,10818.3,44.3,4.7
강남구,"삼성동",127,45.4,13.7,38,34335.4,2483.6,89,8318.2,106.6,9.2
서대문구,"연희동",126,49.2,14.9,31,27442.9,1761.5,95,6225.4,86.2,6.2
은평구,"신사동",123,45.4,13.7,46,20446.7,1489.3,77,10012.5,40.8,3.7
강서구,"방화동",123,32.5,9.8,58,19211.9,1974.5,65,9130.8,42.5,5.4
송파구,"오금동",119,44.3,13.4,42,27625.0,2102.8,77,12418.6,45.6,4.3
용산구,"효창동",118,34.9,10.6,98,29136.4,3105.9,20,8600.0,64.5,7.5
송파구,"풍납동",112,30.7,9.3,12,25537.5,2141.0,100,4690.2,37.1,4.6
