자치구,법정동 코드,법정동,지번,전체주소,단지/건물명,임대구분,보증금(만원),월세(만원),전용면적(m2),평수,층,건축년도,계약년월
종로구,11110,"누상동","166-61","서울특별시 종로구 누상동 166-61","경복아트빌1",전세,28000,0,62.8,19,3,2002,202607
종로구,11110,"누상동","120-3","서울특별시 종로구 누상동 120-3","녹원A동",전세,32500,0,59.85,18.1,2,2000,202607
종로구,11110,"평창동","75-1","서울특별시 종로구 평창동 75-1","샹그리라빌(가동)",월세,5000,120,74.076,22.4,3,2003,202607
종로구,11110,"옥인동","178-51","서울특별시 종로구 옥인동 178-51","거성빌라",월세,100,40,59.96,18.1,1,1996,202607
종로구,11110,"창신동","138-40","서울특별시 종로구 창신동 138-40","어울재",월세,30000,5,37.2,11.3,2,2020,202607
종로구,11110,"종로6가","8","서울특별시 종로구 종로6가 8","종로센트라노",전세,30000,0,28.9,8.7,2,2026,202607
종로구,11110,"창신동","607-9","서울특별시 종로구 창신동 607-9","(607-9)",전세,15000,0,43.7,13.2,3,2005,202607
종로구,11110,"명륜3가","124","서울특별시 종로구 명륜3가 124","태광빌",월세,1000,55,17.76,5.4,2,2013,202607
종로구,11110,"숭인동","178-102","서울특별시 종로구 숭인동 178-102","(178-102)",월세,2000,60,30.83,9.3,2,1997,202607
종로구,11110,"연지동","193-2","서울특별시 종로구 연지동 193-2","주함해븐타워(1동)",월세,60,37,17.14,5.2,7,2019,202607
종로구,11110,"연지동","193-1","서울특별시 종로구 연지동 193-1","주함해븐타워(2동)",월세,60,36,17.14,5.2,7,2019,202607
종로구,11110,"숭인동","72-95","서울특별시 종로구 숭인동 72-95","숭인스톤카운티",월세,100,46,25.5,7.7,3,2021,202607
종로구,11110,"행촌동","210-365","서울특별시 종로구 행촌동 210-365","(210-365)",전세,8000,0,21.05,6.4,-1,1999,202607
종로구,11110,"연지동","193-1","서울특별시 종로구 연지동 193-1","주함해븐타워(2동)",월세,60,36,17.14,5.2,7,2019,202607
