자치구,법정동 코드,법정동,전체주소,주택유형,임대구분,보증금(만원),월세(만원),계약면적(m2),평수,건축년도,계약년월
종로구,11110,"옥인동","서울특별시 종로구 옥인동","단독",월세,2500,54,21,6.4,1971,202607
종로구,11110,"동숭동","서울특별시 종로구 동숭동","단독",월세,300,30,120,36.3,1985,202607
종로구,11110,"낙원동","서울특별시 종로구 낙원동","다가구",월세,1000,55,15,4.5,2017,202607
종로구,11110,"숭인동","서울특별시 종로구 숭인동","단독",월세,200,28,12.2,3.7,1989,202607
종로구,11110,"원남동","서울특별시 종로구 원남동","다가구",월세,200,63,13.2,4,2003,202607
종로구,11110,"명륜3가","서울특별시 종로구 명륜3가","다가구",월세,500,75,16,4.8,1991,202607
종로구,11110,"부암동","서울특별시 종로구 부암동","다가구",전세,27000,0,49.82,15.1,2017,202607
종로구,11110,"명륜3가","서울특별시 종로구 명륜3가","다가구",월세,9500,10,20.07,6.1,1991,202607
종로구,11110,"명륜3가","서울특별시 종로구 명륜3가","단독",월세,300,31,12,3.6,1990,202607
종로구,11110,"낙원동","서울특별시 종로구 낙원동","다가구",월세,500,50,13,3.9,1965,202607
종로구,11110,"신영동","서울특별시 종로구 신영동","다가구",월세,500,40,25,7.6,1995,202607
종로구,11110,"통인동","서울특별시 종로구 통인동","단독",월세,1500,50,15.24,4.6, ,202607
종로구,11110,"창신동","서울특별시 종로구 창신동","단독",월세,300,35,19.1,5.8,1995,202607
종로구,11110,"숭인동","서울특별시 종로구 숭인동","단독",월세,500,40,15,4.5,1959,202607
종로구,11110,"동숭동","서울특별시 종로구 동숭동","단독",월세,3000,90,33.1,10, ,202607
종로구,11110,"부암동","서울특별시 종로구 부암동","다가구",전세,31000,0,82.49,25,1998,202607
종로구,11110,"명륜3가","서울특별시 종로구 명륜3가","다가구",월세,1500,68,35,10.6,1996,202607
종로구,11110,"창신동","서울특별시 종로구 창신동","다가구",월세,300,32,93.7,28.3,2007,202607
종로구,11110,"신문로2가","서울특별시 종로구 신문로2가","다가구",전세,5250,0,38,11.5,1997,202607
종로구,11110,"명륜3가","서울특별시 종로구 명륜3가","다가구",월세,500,50,23,7,1997,202607
종로구,11110,"부암동","서울특별시 종로구 부암동","다가구",전세,99225,0,158.53,48,2005,202607
종로구,11110,"숭인동","서울특별시 종로구 숭인동","단독",전세,13000,0,20.5,6.2,1990,202607
종로구,11110,"창신동","서울특별시 종로구 창신동","다가구",월세,300,35,119.3,36.1,1994,202607
종로구,11110,"옥인동","서울특별시 종로구 옥인동","다가구",월세,5000,61,14.25,4.3,2021,202607
종로구,11110,"명륜3가","서울특별시 종로구 명륜3가","단독",월세,500,40,12.42,3.8, ,202607
종로구,11110,"동숭동","서울특별시 종로구 동숭동","다가구",월세,13000,8,32.11,9.7,1996,202607
종로구,11110,"창신동","서울특별시 종로구 창신동","다가구",월세,1000,53,49.6,15,1967,202607
종로구,11110,"익선동","서울특별시 종로구 익선동","단독",월세,1000,55,16.5,5, ,202607
종로구,11110,"창신동","서울특별시 종로구 창신동","단독",월세,300,35,69.97,21.2, ,202607
종로구,11110,"낙원동","서울특별시 종로구 낙원동","단독",월세,500,50,12,3.6,2016,202607
종로구,11110,"동숭동","서울특별시 종로구 동숭동","단독",월세,2000,70,30,9.1,1996,202607
종로구,11110,"종로6가","서울특별시 종로구 종로6가","단독",월세,2000,120,56.2,17,1997,202607
종로구,11110,"숭인동","서울특별시 종로구 숭인동","단독",월세,500,45,13.16,4,2011,202607
종로구,11110,"신영동","서울특별시 종로구 신영동","다가구",월세,1000,55,45,13.6,1996,202607
종로구,11110,"효자동","서울특별시 종로구 효자동","다가구",월세,20000,60,52.89,16,1998,202607
종로구,11110,"명륜3가","서울특별시 종로구 명륜3가","다가구",월세,500,50,16,4.8,1988,202607
종로구,11110,"구기동","서울특별시 종로구 구기동","다가구",월세,5000,80,45.99,13.9, ,202607
종로구,11110,"가회동","서울특별시 종로구 가회동","단독",월세,39000,25,46.28,14, ,202607
종로구,11110,"홍지동","서울특별시 종로구 홍지동","단독",월세,200,50,14.87,4.5,1990,202607
종로구,11110,"연건동","서울특별시 종로구 연건동","다가구",월세,20000,50,53.16,16.1,1992,202607
종로구,11110,"이화동","서울특별시 종로구 이화동","단독",월세,3000,70,52,15.7,1998,202607
종로구,11110,"청운동","서울특별시 종로구 청운동","단독",월세,15000,50,37.09,11.2,1961,202607
종로구,11110,"창신동","서울특별시 종로구 창신동","다가구",전세,17000,0,46.2,14,1991,202607
종로구,11110,"청운동","서울특별시 종로구 청운동","단독",월세,15000,50,37.09,11.2,1961,202607
종로구,11110,"창신동","서울특별시 종로구 창신동","다가구",월세,1000,70,120.24,36.4,1990,202607
종로구,11110,"명륜4가","서울특별시 종로구 명륜4가","다가구",월세,10000,30,36.38,11,1965,202607
종로구,11110,"혜화동","서울특별시 종로구 혜화동","다가구",월세,1000,70,42.67,12.9,1994,202607
종로구,11110,"명륜1가","서울특별시 종로구 명륜1가","단독",월세,1000,65,17,5.1,2010,202607
종로구,11110,"명륜3가","서울특별시 종로구 명륜3가","단독",월세,500,50,14,4.2,1976,202607
종로구,11110,"무악동","서울특별시 종로구 무악동","다가구",전세,13000,0,90.34,27.3,1993,202607
종로구,11110,"명륜3가","서울특별시 종로구 명륜3가","단독",월세,500,57,18,5.4, ,202607
종로구,11110,"명륜3가","서울특별시 종로구 명륜3가","다가구",월세,500,50,18.99,5.7,1997,202607
종로구,11110,"명륜1가","서울특별시 종로구 명륜1가","다가구",월세,500,45,18,5.4,2002,202607
종로구,11110,"충신동","서울특별시 종로구 충신동","단독",월세,5000,10,49.5,15,1981,202607
종로구,11110,"숭인동","서울특별시 종로구 숭인동","단독",월세,13000,20,38.79,11.7,1988,202607
종로구,11110,"충신동","서울특별시 종로구 충신동","단독",월세,500,40,18.98,5.7,1981,202607
종로구,11110,"구기동","서울특별시 종로구 구기동","단독",전세,83000,0,97.66,29.5,1979,202607
종로구,11110,"평창동","서울특별시 종로구 평창동","단독",월세,500,50,20,6.1,1993,202607
종로구,11110,"명륜3가","서울특별시 종로구 명륜3가","다가구",월세,500,45,15,4.5,1997,202607
종로구,11110,"충신동","서울특별시 종로구 충신동","단독",월세,1000,55,19.83,6, ,202607
종로구,11110,"명륜3가","서울특별시 종로구 명륜3가","다가구",월세,100,45,50,15.1,1993,202607
종로구,11110,"사직동","서울특별시 종로구 사직동","단독",전세,38000,0,101,30.6,1966,202606
종로구,11110,"부암동","서울특별시 종로구 부암동","다가구",월세,3800,41,64,19.4,1996,202606
종로구,11110,"숭인동","서울특별시 종로구 숭인동","단독",월세,500,45,32.98,10,1986,202606
종로구,11110,"명륜2가","서울특별시 종로구 명륜2가","다가구",월세,1000,70,28,8.5,1997,202606
종로구,11110,"명륜4가","서울특별시 종로구 명륜4가","단독",월세,1000,90,52.71,15.9,1996,202606
종로구,11110,"창신동","서울특별시 종로구 창신동","다가구",월세,500,55,27.84,8.4,1990,202606
종로구,11110,"명륜2가","서울특별시 종로구 명륜2가","단독",월세,1000,55,15,4.5, ,202606
종로구,11110,"가회동","서울특별시 종로구 가회동","다가구",월세,10000,96,113.65,34.4,1997,202606
종로구,11110,"명륜2가","서울특별시 종로구 명륜2가","다가구",월세,1000,95,18,5.4,1997,202606
종로구,11110,"명륜3가","서울특별시 종로구 명륜3가","단독",월세,500,45,15,4.5,1997,202606
종로구,11110,"창신동","서울특별시 종로구 창신동","다가구",월세,500,50,15,4.5,1991,202606
종로구,11110,"명륜1가","서울특별시 종로구 명륜1가","다가구",월세,500,52,16,4.8,1991,202606
종로구,11110,"명륜3가","서울특별시 종로구 명륜3가","다가구",월세,10000,20,27,8.2,2019,202606
종로구,11110,"창신동","서울특별시 종로구 창신동","단독",월세,1000,50,14.5,4.4,2018,202606
종로구,11110,"누상동","서울특별시 종로구 누상동","다가구",월세,2000,60,46.28,14, ,202606
종로구,11110,"명륜3가","서울특별시 종로구 명륜3가","다가구",월세,500,50,15,4.5,1994,202606
종로구,11110,"부암동","서울특별시 종로구 부암동","다가구",월세,5000,55,52.45,15.9,1996,202606
종로구,11110,"숭인동","서울특별시 종로구 숭인동","다가구",월세,1000,80,50.33,15.2,1999,202606
종로구,11110,"행촌동","서울특별시 종로구 행촌동","다가구",월세,0,55,149.98,45.4,1993,202606
종로구,11110,"창신동","서울특별시 종로구 창신동","다가구",월세,3000,65,41.98,12.7,1996,202606
종로구,11110,"창신동","서울특별시 종로구 창신동","단독",월세,6000,30,31.13,9.4,1978,202606
종로구,11110,"명륜2가","서울특별시 종로구 명륜2가","다가구",월세,500,50,18,5.4,1985,202606
종로구,11110,"명륜1가","서울특별시 종로구 명륜1가","단독",월세,11000,200,47.4,14.3,2015,202606
종로구,11110,"명륜1가","서울특별시 종로구 명륜1가","다가구",월세,500,60,15,4.5,1992,202606
종로구,11110,"숭인동","서울특별시 종로구 숭인동","단독",월세,500,70,42.975,13,1990,202606
종로구,11110,"부암동","서울특별시 종로구 부암동","다가구",월세,500,55,24.68,7.5,2001,202606
종로구,11110,"명륜3가","서울특별시 종로구 명륜3가","단독",월세,3000,50,15,4.5,2010,202606
종로구,11110,"원남동","서울특별시 종로구 원남동","다가구",월세,300,67,10.6,3.2,2003,202606
종로구,11110,"명륜1가","서울특별시 종로구 명륜1가","다가구",월세,5000,45,43,13,1992,202606
종로구,11110,"창신동","서울특별시 종로구 창신동","다가구",월세,1000,60,91.24,27.6,1995,202606
종로구,11110,"명륜1가","서울특별시 종로구 명륜1가","단독",월세,500,55,16,4.8,2001,202606
종로구,11110,"명륜1가","서울특별시 종로구 명륜1가","단독",월세,1000,77,27,8.2,2006,202606
종로구,11110,"명륜2가","서울특별시 종로구 명륜2가","다가구",월세,1000,55,15,4.5,2009,202606
종로구,11110,"가회동","서울특별시 종로구 가회동","단독",전세,90000,0,98.12,29.7,1966,202606
종로구,11110,"필운동","서울특별시 종로구 필운동","다가구",월세,7000,350,57.87,17.5,1994,202606
종로구,11110,"팔판동","서울특별시 종로구 팔판동","단독",전세,21000,0,32.53,9.8, ,202606
종로구,11110,"명륜3가","서울특별시 종로구 명륜3가","단독",월세,500,30,142.38,43.1,1986,202606
종로구,11110,"숭인동","서울특별시 종로구 숭인동","다가구",월세,500,50,30,9.1,1991,202606
종로구,11110,"사직동","서울특별시 종로구 사직동","다가구",월세,1000,60,24.92,7.5,2002,202606
종로구,11110,"창신동","서울특별시 종로구 창신동","다가구",월세,10000,20,36.63,11.1,1992,202606
종로구,11110,"삼청동","서울특별시 종로구 삼청동","단독",월세,5000,200,85.3,25.8, ,202606
종로구,11110,"종로6가","서울특별시 종로구 종로6가","다가구",전세,11500,0,59.88,18.1,1996,202606
종로구,11110,"명륜2가","서울특별시 종로구 명륜2가","다가구",월세,500,55,15,4.5, ,202606
종로구,11110,"삼청동","서울특별시 종로구 삼청동","단독",월세,2000,100,89,26.9, ,202606
