보안등위치명,설치개수,소재지도로명주소,소재지지번주소,위도,경도,설치연도,설치형태,관리기관전화번호,관리기관명,데이터기준일자
송정동001,1,서울특별시 성동구 송정동 18-29,서울특별시 성동구 송정동 9-28,37.544385,127.0644501,2020,한전주,02-2286-5114,서울특별시 성동구청,2025-12-23
송정동002,1,서울특별시 성동구 송정동 125-7,서울특별시 성동구 송정동 139-5,37.544385,127.0646193,2023,건축물,02-2286-5114,서울특별시 성동구청,2025-12-23
송정동003,1,서울특별시 성동구 송정동 63-26,서울특별시 성동구 송정동 122-26,37.5445233,127.0649047,2021,전용주,02-2286-5114,서울특별시 성동구청,2025-12-23
송정동004,1,서울특별시 성동구 송정동 91-14,서울특별시 성동구 송정동 106-15,37.5444041,127.065061,2024,전용주,02-2286-5114,서울특별시 성동구청,2025-12-23
송정동005,1,서울특별시 성동구 송정동 65-29,서울특별시 성동구 송정동 14-3,37.5447287,127.0632308,2023,전용주,02-2286-5114,서울특별시 성동구청,2025-12-23
송정동006,1,서울특별시 성동구 송정동 86-25,서울특별시 성동구 송정동 34-21,37.544695,127.0634649,2020,한전주,02-2286-5114,서울특별시 성동구청,2025-12-23
송정동007,1,서울특별시 성동구 송정동 110-18,서울특별시 성동구 송정동 3-4,37.5446531,127.0637235,2018,건축물,02-2286-5114,서울특별시 성동구청,2025-12-23
송정동008,1,서울특별시 성동구 송정동 140-2,서울특별시 성동구 송정동 95-19,37.5447784,127.0639954,2022,한전주,02-2286-5114,서울특별시 성동구청,2025-12-23
송정동009,1,서울특별시 성동구 송정동 94-29,서울특별시 성동구 송정동 11-29,37.5446509,127.0641374,2020,전용주,02-2286-5114,서울특별시 성동구청,2025-12-23
송정동010,1,서울특별시 성동구 송정동 91-25,서울특별시 성동구 송정동 144-29,37.5446609,127.064389,2024,한전주,02-2286-5114,서울특별시 성동구청,2025-12-23
송정동011,1,서울특별시 성동구 송정동 61-28,서울특별시 성동구 송정동 42-26,37.5446923,127.0646805,2024,한전주,02-2286-5114,서울특별시 성동구청,2025-12-23
송정동012,1,서울특별시 성동구 송정동 86-26,서울특별시 성동구 송정동 106-26,37.5446556,127.0648793,2023,한전주,02-2286-5114,서울특별시 성동구청,2025-12-23
송정동013,1,서울특별시 성동구 송정동 41-26,서울특별시 성동구 송정동 28-13,37.5447655,127.0651752,2024,전용주,02-2286-5114,서울특별시 성동구청,2025-12-23
송정동014,1,서울특별시 성동구 송정동 57-6,서울특별시 성동구 송정동 133-15,37.5450185,127.0624017,2018,전용주,02-2286-5114,서울특별시 성동구청,2025-12-23
송정동015,1,서울특별시 성동구 송정동 117-5,서울특별시 성동구 송정동 119-22,37.5449701,127.062639,2022,한전주,02-2286-5114,서울특별시 성동구청,2025-12-23
송정동016,1,서울특별시 성동구 송정동 130-14,서울특별시 성동구 송정동 141-15,37.5450389,127.0628196,2019,전용주,02-2286-5114,서울특별시 성동구청,2025-12-23
송정동017,1,서울특별시 성동구 송정동 64-27,서울특별시 성동구 송정동 71-25,37.5449999,127.0630324,2024,전용주,02-2286-5114,서울특별시 성동구청,2025-12-23
송정동018,1,서울특별시 성동구 송정동 113-3,서울특별시 성동구 송정동 74-8,37.5449643,127.0632888,2020,전용주,02-2286-5114,서울특별시 성동구청,2025-12-23
송정동019,1,서울특별시 성동구 송정동 36-5,서울특별시 성동구 송정동 60-13,37.5449346,127.0635635,2023,한전주,02-2286-5114,서울특별시 성동구청,2025-12-23
송정동020,1,서울특별시 성동구 송정동 105-11,서울특별시 성동구 송정동 139-15,37.5449053,127.063687,2021,전용주,02-2286-5114,서울특별시 성동구청,2025-12-23
송정동021,1,서울특별시 성동구 송정동 150-23,서울특별시 성동구 송정동 6-28,37.5448908,127.0640181,2024,전용주,02-2286-5114,서울특별시 성동구청,2025-12-23
송정동022,1,서울특별시 성동구 송정동 77-25,서울특별시 성동구 송정동 100-28,37.544973,127.0641933,2024,전용주,02-2286-5114,서울특별시 성동구청,2025-12-23
송정동023,1,서울특별시 성동구 송정동 57-16,서울특별시 성동구 송정동 57-9,37.5449479,127.0644687,2021,건축물,02-2286-5114,서울특별시 성동구청,2025-12-23
송정동024,1,서울특별시 성동구 송정동 104-24,서울특별시 성동구 송정동 43-27,37.5449586,127.0646434,2021,건축물,02-2286-5114,서울특별시 성동구청,2025-12-23
송정동025,1,서울특별시 성동구 송정동 7-30,서울특별시 성동구 송정동 101-19,37.545028,127.0649702,2022,건축물,02-2286-5114,서울특별시 성동구청,2025-12-23
송정동026,1,서울특별시 성동구 송정동 35-28,서울특별시 성동구 송정동 119-6,37.5449869,127.0650589,2018,전용주,02-2286-5114,서울특별시 성동구청,2025-12-23
송정동027,1,서울특별시 성동구 송정동 84-11,서울특별시 성동구 송정동 98-9,37.5449225,127.0653299,2024,전용주,02-2286-5114,서울특별시 성동구청,2025-12-23
송정동028,1,서울특별시 성동구 송정동 126-15,서울특별시 성동구 송정동 5-3,37.5452233,127.0618343,2020,전용주,02-2286-5114,서울특별시 성동구청,2025-12-23
송정동029,1,서울특별시 성동구 송정동 149-12,서울특별시 성동구 송정동 122-18,37.5451699,127.0621386,2022,전용주,02-2286-5114,서울특별시 성동구청,2025-12-23
송정동030,1,서울특별시 성동구 송정동 85-12,서울특별시 성동구 송정동 117-9,37.5451895,127.0624195,2020,건축물,02-2286-5114,서울특별시 성동구청,2025-12-23
송정동031,1,서울특별시 성동구 송정동 81-4,서울특별시 성동구 송정동 138-25,37.5451747,127.0625115,2023,한전주,02-2286-5114,서울특별시 성동구청,2025-12-23
송정동032,1,서울특별시 성동구 송정동 71-24,서울특별시 성동구 송정동 135-20,37.5451641,127.0627589,2020,전용주,02-2286-5114,서울특별시 성동구청,2025-12-23
송정동033,1,서울특별시 성동구 송정동 59-12,서울특별시 성동구 송정동 46-10,37.5452914,127.0630896,2018,전용주,02-2286-5114,서울특별시 성동구청,2025-12-23
송정동034,1,서울특별시 성동구 송정동 14-18,서울특별시 성동구 송정동 75-23,37.5452478,127.0632088,2019,한전주,02-2286-5114,서울특별시 성동구청,2025-12-23
송정동035,1,서울특별시 성동구 송정동 4-19,서울특별시 성동구 송정동 73-16,37.5452366,127.0635411,2021,한전주,02-2286-5114,서울특별시 성동구청,2025-12-23
