스마트가로등유형,시도명,시군구명,도로명,소재지도로명주소,소재지지번주소,위도,경도,스마트가로등형태,점등상태여부,센서종류,센싱정보서비스,CCTV유무,WiFi유무,GPS수신기유무,비콘유무,조명제어여부,위급상황신고가능여부,앱서비스명,앱서비스제공내용,기타서비스,설치연도,관리기관명,관리기관전화번호,데이터기준일자,제공기관코드,제공기관명
1,경상북도,김천시,아포대로,,경상북도 김천시 남면 초곡리 1040,36.141564,128.185039,1,Y,동작감지센서,,N,N,N,N,Y,N,,,,2024,경상북도 김천시,054-420-6891,2026-05-07,5060000,경상북도 김천시
02,경기도,가평군,시장중앙로,,경기도 가평군 청평면 청평리 794,37.735753,127.416270,1,Y,조도센서,방범,N,Y,Y,N,Y,N,네브레이코리아,,,2016,경기도 가평군청,031-580-2100,2026-05-22,4160000,경기도 가평군
02,경기도,가평군,운악청계로,,경기도 가평군 조종면 현리 547-9,37.830427,127.346332,1,Y,조도센서,방범,N,Y,Y,N,Y,N,네브레이코리아,,,2016,경기도 가평군청,031-580-2100,2026-05-22,4160000,경기도 가평군
02,경기도,가평군,조종희망로,,경기도 가평군 조종면 현리 236-10,37.824647,127.350325,1,Y,조도센서,방범,N,Y,Y,N,Y,N,네브레이코리아,,,2016,경기도 가평군청,031-580-2100,2026-05-22,4160000,경기도 가평군
02,경기도,가평군,대보간선로,,경기도 가평군 조종면 대보리 330-5,37.808353,127.364743,1,Y,조도센서,방범,N,Y,Y,N,Y,N,네브레이코리아,,,2016,경기도 가평군청,031-580-2100,2026-05-22,4160000,경기도 가평군
02,경기도,가평군,자잠로,,경기도 가평군 설악면 신천리 503-11,37.680809,127.492841,1,Y,조도센서,방범,N,Y,Y,N,Y,N,네브레이코리아,,,2016,경기도 가평군청,031-580-2100,2026-05-22,4160000,경기도 가평군
02,경기도,가평군,자잠로,,경기도 가평군 설악면 신천리 77-4,37.680262,127.493434,1,Y,조도센서,방범,N,Y,Y,N,Y,N,네브레이코리아,,,2016,경기도 가평군청,031-580-2100,2026-05-22,4160000,경기도 가평군
02,경기도,가평군,연하길,,경기도 가평군 상면 연하리 171-26,37.804472,127.356702,1,Y,조도센서,방범,N,Y,Y,N,Y,N,네브레이코리아,,,2016,경기도 가평군청,031-580-2100,2026-05-22,4160000,경기도 가평군
02,경기도,가평군,안먹골길,,경기도 가평군 상면 연하리 51-2,37.800058,127.358613,1,Y,조도센서,방범,N,Y,Y,N,Y,N,네브레이코리아,,,2016,경기도 가평군청,031-580-2100,2026-05-22,4160000,경기도 가평군
02,경기도,가평군,가화로,경기도 가평군 북면 가화로 692,경기도 가평군 북면 이곡리 605-19번지,37.871642,127.521501,1,Y,조도센서,방범,N,Y,Y,N,Y,N,네브레이코리아,,,2016,경기도 가평군청,031-580-2100,2026-05-22,4160000,경기도 가평군
02,경기도,가평군,비석거리길,,경기도 가평군 가평읍 대곡리 171-12,37.823814,127.514607,1,Y,조도센서,방범,N,Y,Y,N,Y,N,네브레이코리아,,,2016,경기도 가평군청,031-580-2100,2026-05-22,4160000,경기도 가평군
02,경기도,가평군,비석거리길,경기도 가평군 가평읍 비석거리길 7,경기도 가평군 가평읍 대곡리 196-3번지,37.823519,127.515086,1,Y,조도센서,방범,N,Y,Y,N,Y,N,네브레이코리아,,,2016,경기도 가평군청,031-580-2100,2026-05-22,4160000,경기도 가평군
02,경기도,가평군,장터2길,경기도 가평군 가평읍 보납로34번길 11-1,경기도 가평군 가평읍 읍내리 407-5번지,37.830267,127.514826,1,Y,조도센서,방범,N,Y,Y,N,Y,N,네브레이코리아,,,2016,경기도 가평군청,031-580-2100,2026-05-22,4160000,경기도 가평군
02,경기도,가평군,중촌로,,경기도 가평군 가평읍 읍내리 600-12,37.833573,127.508193,1,Y,조도센서,방범,N,Y,Y,N,Y,N,네브레이코리아,,,2016,경기도 가평군청,031-580-2100,2026-05-22,4160000,경기도 가평군
02,경기도,가평군,중촌로,,경기도 가평군 가평읍 읍내리 658,37.834861,127.507969,1,Y,조도센서,방범,N,Y,Y,N,Y,N,네브레이코리아,,,2016,경기도 가평군청,031-580-2100,2026-05-22,4160000,경기도 가평군
02,경기도,가평군,석봉로239번길,,경기도 가평군 가평읍 읍내리 776-6,37.836302,127.507902,1,Y,조도센서,방범,N,Y,Y,N,Y,N,네브레이코리아,,,2016,경기도 가평군청,031-580-2100,2026-05-22,4160000,경기도 가평군
02,경기도,가평군,가평제방길,,경기도 가평군 가평읍 읍내리 389-8,37.829005,127.516845,1,Y,조도센서,방범,N,Y,Y,N,Y,N,네브레이코리아,,,2016,경기도 가평군청,031-580-2100,2026-05-22,4160000,경기도 가평군
02,경기도,가평군,석봉로3번길,,경기도 가평군 가평읍 대곡리 668,37.820179,127.504931,1,Y,조도센서,방범,N,Y,Y,N,Y,N,네브레이코리아,,,2016,경기도 가평군청,031-580-2100,2026-05-22,4160000,경기도 가평군
02,경기도,가평군,중촌로,,경기도 가평군 가평읍 읍내리 585-7,37.832316,127.507042,1,Y,조도센서,방범,N,Y,Y,N,Y,N,네브레이코리아,,,2016,경기도 가평군청,031-580-2100,2026-05-22,4160000,경기도 가평군
02,경기도,가평군,가화로,경기도 가평군 가평읍 가화로 269,경기도 가평군 가평읍 승안리 50-6,37.841948,127.504968,1,Y,조도센서,방범,N,Y,Y,N,Y,N,네브레이코리아,,,2016,경기도 가평군청,031-580-2100,2026-05-22,4160000,경기도 가평군
02,경기도,가평군,현등사길,,경기도 가평군 조종면 운악리 650,37.866298,127.349744,1,Y,조도센서,방범,N,Y,Y,N,Y,N,네브레이코리아,,,2016,경기도 가평군청,031-580-2100,2026-05-22,4160000,경기도 가평군
02,경기도,가평군,운악청계로,경기도 가평군 조종면 운악청계로 84,경기도 가평군 조종면 현리 48-4번지,37.829553,127.349532,1,Y,조도센서,방범,N,Y,Y,N,Y,N,네브레이코리아,,,2016,경기도 가평군청,031-580-2100,2026-05-22,4160000,경기도 가평군
02,경기도,가평군,신천중앙로120번길,,경기도 가평군 설악면 신천리 413-26,37.677626,127.492397,1,Y,조도센서,방범,N,Y,Y,N,Y,N,네브레이코리아,,,2016,경기도 가평군청,031-580-2100,2026-05-22,4160000,경기도 가평군
02,경기도,가평군,기와집길,경기도 가평군 상면 기와집길 9-3,경기도 가평군 상면 연하리 181-13번지,37.805107,127.355912,1,Y,조도센서,방범,N,Y,Y,N,Y,N,네브레이코리아,,,2016,경기도 가평군청,031-580-2100,2026-05-22,4160000,경기도 가평군
02,경기도,가평군,석장모루길,,경기도 가평군 북면 이곡리 13-85,37.878148,127.549071,1,Y,조도센서,방범,N,Y,Y,N,Y,N,네브레이코리아,,,2016,경기도 가평군청,031-580-2100,2026-05-22,4160000,경기도 가평군
02,경기도,가평군,석봉로77번길,경기도 가평군 가평읍 석봉로 87,경기도 가평군 가평읍 대곡리 147-1번지,37.822958,127.512296,1,Y,조도센서,방범,N,Y,Y,N,Y,N,네브레이코리아,,,2016,경기도 가평군청,031-580-2100,2026-05-22,4160000,경기도 가평군
02,경기도,가평군,태평길,경기도 가평군 가평읍 태평길 17,경기도 가평군 가평읍 읍내리 384-2번지,37.828102,127.516567,1,Y,조도센서,방범,N,Y,Y,N,Y,N,네브레이코리아,,,2016,경기도 가평군청,031-580-2100,2026-05-22,4160000,경기도 가평군
02,경기도,가평군,연인산로,,경기도 가평군 조종면 마일리 산144,37.855463,127.398158,1,Y,조도센서,방범,N,Y,Y,N,Y,N,네브레이코리아,,,2016,경기도 가평군청,031-580-2100,2026-05-22,4160000,경기도 가평군
02,경기도,가평군,청평역로,,경기도 가평군 청평면 청평리 94-30,37.733406,127.422755,1,Y,조도센서,방범,N,Y,Y,N,Y,N,네브레이코리아,,,2016,경기도 가평군청,031-580-2100,2026-05-22,4160000,경기도 가평군
1,서울특별시,강서구,방화대로,,서울특별시 강서구 공항동 2-104,37.56201744,126.8164767,1,Y,전류센서,도로조명,N,N,N,N,Y,N,,,전력사용량정보+고장정보,2020,서울특별시 강서구청,02-2600-6943,2026-04-13,3150000,서울특별시 강서구
1,서울특별시,강서구,방화대로,,서울특별시 강서구 공항동 2-104,37.56201744,126.816422,1,Y,속도센서+전류센서,도로조명,N,N,N,N,Y,N,,,전력사용량정보+고장정보,2020,서울특별시 강서구청,02-2600-6943,2026-04-13,3150000,서울특별시 강서구
1,서울특별시,강서구,방화대로,,서울특별시 강서구 공항동 1-1,37.563728,126.816574,1,Y,전류센서,도로조명,N,N,N,N,Y,N,,,전력사용량정보+고장정보,2020,서울특별시 강서구청,02-2600-6943,2026-04-13,3150000,서울특별시 강서구
1,서울특별시,강서구,방화대로,,서울특별시 강서구 공항동 1-1,37.563719,126.816514,1,Y,속도센서+전류센서,도로조명,N,N,N,N,Y,N,,,전력사용량정보+고장정보,2020,서울특별시 강서구청,02-2600-6943,2026-04-13,3150000,서울특별시 강서구
1,서울특별시,강서구,방화대로,,서울특별시 강서구 공항동 1-1,37.56373892,126.816587,1,Y,전류센서,도로조명,N,N,N,N,Y,N,,,전력사용량정보+고장정보,2020,서울특별시 강서구청,02-2600-6943,2026-04-13,3150000,서울특별시 강서구
1,서울특별시,강서구,방화대로,,서울특별시 강서구 공항동 1-1,37.56373892,126.816584,1,Y,전류센서,도로조명,N,N,N,N,Y,N,,,전력사용량정보+고장정보,2020,서울특별시 강서구청,02-2600-6943,2026-04-13,3150000,서울특별시 강서구
