상품명,일련번호,소득최소금액,소득최대금액,보증금최소금액,보증금최대금액,대출최소기간,대출최대기간,기본금리
내집마련디딤돌대출 일반,1,0 ,20000000 ,0 ,0 ,0 ,120 ,2.85 
내집마련디딤돌대출 일반,2,0 ,20000000 ,0 ,0 ,120 ,180 ,2.95 
내집마련디딤돌대출 일반,3,0 ,20000000 ,0 ,0 ,180 ,240 ,3.05 
내집마련디딤돌대출 일반,4,0 ,20000000 ,0 ,0 ,240 ,360 ,3.10 
내집마련디딤돌대출 일반,5,20000000 ,40000000 ,0 ,0 ,0 ,120 ,3.20 
내집마련디딤돌대출 일반,6,20000000 ,40000000 ,0 ,0 ,120 ,180 ,3.30 
내집마련디딤돌대출 일반,7,20000000 ,40000000 ,0 ,0 ,180 ,240 ,3.40 
내집마련디딤돌대출 일반,8,20000000 ,40000000 ,0 ,0 ,240 ,360 ,3.45 
내집마련디딤돌대출 일반,9,40000000 ,70000000 ,0 ,0 ,0 ,120 ,3.55 
내집마련디딤돌대출 일반,10,40000000 ,70000000 ,0 ,0 ,120 ,180 ,3.65 
내집마련디딤돌대출 일반,11,40000000 ,70000000 ,0 ,0 ,180 ,240 ,3.75 
내집마련디딤돌대출 일반,12,40000000 ,70000000 ,0 ,0 ,240 ,360 ,3.80 
내집마련디딤돌대출 일반,13,70000000 ,85000000 ,0 ,0 ,0 ,120 ,3.90 
내집마련디딤돌대출 일반,14,70000000 ,85000000 ,0 ,0 ,120 ,180 ,4.00 
내집마련디딤돌대출 일반,15,70000000 ,85000000 ,0 ,0 ,180 ,240 ,4.10 
내집마련디딤돌대출 일반,16,70000000 ,85000000 ,0 ,0 ,240 ,360 ,4.15 
내집마련디딤돌대출 유한책임,1,0 ,20000000 ,0 ,0 ,0 ,120 ,2.85 
내집마련디딤돌대출 유한책임,2,0 ,20000000 ,0 ,0 ,120 ,180 ,2.95 
내집마련디딤돌대출 유한책임,3,0 ,20000000 ,0 ,0 ,180 ,240 ,3.05 
내집마련디딤돌대출 유한책임,4,0 ,20000000 ,0 ,0 ,240 ,360 ,3.10 
내집마련디딤돌대출 유한책임,5,20000000 ,40000000 ,0 ,0 ,0 ,120 ,3.20 
내집마련디딤돌대출 유한책임,6,20000000 ,40000000 ,0 ,0 ,120 ,180 ,3.30 
내집마련디딤돌대출 유한책임,7,20000000 ,40000000 ,0 ,0 ,180 ,240 ,3.40 
내집마련디딤돌대출 유한책임,8,20000000 ,40000000 ,0 ,0 ,240 ,360 ,3.45 
내집마련디딤돌대출 유한책임,9,40000000 ,70000000 ,0 ,0 ,0 ,120 ,3.55 
내집마련디딤돌대출 유한책임,10,40000000 ,70000000 ,0 ,0 ,120 ,180 ,3.65 
내집마련디딤돌대출 유한책임,11,40000000 ,70000000 ,0 ,0 ,180 ,240 ,3.75 
내집마련디딤돌대출 유한책임,12,40000000 ,70000000 ,0 ,0 ,240 ,360 ,3.80 
내집마련디딤돌대출 유한책임,13,70000000 ,85000000 ,0 ,0 ,0 ,120 ,3.90 
내집마련디딤돌대출 유한책임,14,70000000 ,85000000 ,0 ,0 ,120 ,180 ,4.00 
내집마련디딤돌대출 유한책임,15,70000000 ,85000000 ,0 ,0 ,180 ,240 ,4.10 
내집마련디딤돌대출 유한책임,16,70000000 ,85000000 ,0 ,0 ,240 ,360 ,4.15 
내집마련디딤돌대출 일반구입자금보증(HF),1,0 ,20000000 ,0 ,0 ,0 ,120 ,2.85 
내집마련디딤돌대출 일반구입자금보증(HF),2,0 ,20000000 ,0 ,0 ,120 ,180 ,2.95 
내집마련디딤돌대출 일반구입자금보증(HF),3,0 ,20000000 ,0 ,0 ,180 ,240 ,3.05 
내집마련디딤돌대출 일반구입자금보증(HF),4,0 ,20000000 ,0 ,0 ,240 ,360 ,3.10 
내집마련디딤돌대출 일반구입자금보증(HF),5,20000000 ,40000000 ,0 ,0 ,0 ,120 ,3.20 
내집마련디딤돌대출 일반구입자금보증(HF),6,20000000 ,40000000 ,0 ,0 ,120 ,180 ,3.30 
내집마련디딤돌대출 일반구입자금보증(HF),7,20000000 ,40000000 ,0 ,0 ,180 ,240 ,3.40 
내집마련디딤돌대출 일반구입자금보증(HF),8,20000000 ,40000000 ,0 ,0 ,240 ,360 ,3.45 
내집마련디딤돌대출 일반구입자금보증(HF),9,40000000 ,70000000 ,0 ,0 ,0 ,120 ,3.55 
내집마련디딤돌대출 일반구입자금보증(HF),10,40000000 ,70000000 ,0 ,0 ,120 ,180 ,3.65 
내집마련디딤돌대출 일반구입자금보증(HF),11,40000000 ,70000000 ,0 ,0 ,180 ,240 ,3.75 
내집마련디딤돌대출 일반구입자금보증(HF),12,40000000 ,70000000 ,0 ,0 ,240 ,360 ,3.80 
내집마련디딤돌대출 일반구입자금보증(HF),13,70000000 ,85000000 ,0 ,0 ,0 ,120 ,3.90 
내집마련디딤돌대출 일반구입자금보증(HF),14,70000000 ,85000000 ,0 ,0 ,120 ,180 ,4.00 
내집마련디딤돌대출 일반구입자금보증(HF),15,70000000 ,85000000 ,0 ,0 ,180 ,240 ,4.10 
내집마련디딤돌대출 일반구입자금보증(HF),16,70000000 ,85000000 ,0 ,0 ,240 ,360 ,4.15 
내집마련디딤돌대출 생애최초특례구입자금보증(HF),1,0 ,20000000 ,0 ,0 ,0 ,120 ,2.85 
내집마련디딤돌대출 생애최초특례구입자금보증(HF),2,0 ,20000000 ,0 ,0 ,120 ,180 ,2.95 
내집마련디딤돌대출 생애최초특례구입자금보증(HF),3,0 ,20000000 ,0 ,0 ,180 ,240 ,3.05 
내집마련디딤돌대출 생애최초특례구입자금보증(HF),4,0 ,20000000 ,0 ,0 ,240 ,360 ,3.10 
내집마련디딤돌대출 생애최초특례구입자금보증(HF),5,20000000 ,40000000 ,0 ,0 ,0 ,120 ,3.20 
내집마련디딤돌대출 생애최초특례구입자금보증(HF),6,20000000 ,40000000 ,0 ,0 ,120 ,180 ,3.30 
내집마련디딤돌대출 생애최초특례구입자금보증(HF),7,20000000 ,40000000 ,0 ,0 ,180 ,240 ,3.40 
내집마련디딤돌대출 생애최초특례구입자금보증(HF),8,20000000 ,40000000 ,0 ,0 ,240 ,360 ,3.45 
내집마련디딤돌대출 생애최초특례구입자금보증(HF),9,40000000 ,70000000 ,0 ,0 ,0 ,120 ,3.55 
내집마련디딤돌대출 생애최초특례구입자금보증(HF),10,40000000 ,70000000 ,0 ,0 ,120 ,180 ,3.65 
내집마련디딤돌대출 생애최초특례구입자금보증(HF),11,40000000 ,70000000 ,0 ,0 ,180 ,240 ,3.75 
내집마련디딤돌대출 생애최초특례구입자금보증(HF),12,40000000 ,70000000 ,0 ,0 ,240 ,360 ,3.80 
내집마련디딤돌대출 생애최초특례구입자금보증(HF),13,70000000 ,85000000 ,0 ,0 ,0 ,120 ,3.90 
내집마련디딤돌대출 생애최초특례구입자금보증(HF),14,70000000 ,85000000 ,0 ,0 ,120 ,180 ,4.00 
내집마련디딤돌대출 생애최초특례구입자금보증(HF),15,70000000 ,85000000 ,0 ,0 ,180 ,240 ,4.10 
