상품대분류명,상품중분류명,상품소분류명,상품명,상품설명,상품적용시작일,상품적용종료일,비대면신청 가능여부
개인수요자대출,주택구입자금,내집마련디딤돌대출,내집마련디딤돌대출 일반,정부지원 3대 서민 구입자금을 하나로 통합한 저금리의 구입자금대출 상품,2019-01-01,9999-12-31,Y
개인수요자대출,주택구입자금,내집마련디딤돌대출,내집마련디딤돌대출 유한책임,정부지원 3대 서민 구입자금을 하나로 통합한 저금리의 구입자금대출 상품,2019-01-01,9999-12-31,Y
개인수요자대출,주택구입자금,내집마련디딤돌대출,내집마련디딤돌대출 일반구입자금보증(HF),정부지원 3대 서민 구입자금을 하나로 통합한 저금리의 구입자금대출 상품(HF의 일반구입자금보증을 가입하는 경우),2019-01-01,9999-12-31,Y
개인수요자대출,주택구입자금,내집마련디딤돌대출,내집마련디딤돌대출 생애최초특례구입자금보증(HF),정부지원 3대 서민 구입자금을 하나로 통합한 저금리의 구입자금대출 상품(HF의 생애최초특례구입자금보증을 가입하는 경우),2023-06-23,9999-12-31,Y
개인수요자대출,주택구입자금,내집마련디딤돌대출,내집마련디딤돌대출 신혼부부전용 일반,신혼집 구입비용이 고민인 신혼부부를 위한 신혼부부 전용 구입자금대출,2019-01-01,9999-12-31,Y
개인수요자대출,주택구입자금,내집마련디딤돌대출,내집마련디딤돌대출 신혼부부전용 유한책임,신혼집 구입비용이 고민인 신혼부부를 위한 신혼부부 전용 구입자금대출,2019-01-01,9999-12-31,Y
개인수요자대출,주택구입자금,내집마련디딤돌대출,내집마련디딤돌대출 신혼부부전용 일반구입자금보증(HF),신혼집 구입비용이 고민인 신혼부부를 위한 신혼부부 전용 구입자금대출(HF의 일반구입자금보증을 가입하는 경우),2019-01-01,9999-12-31,Y
개인수요자대출,주택구입자금,내집마련디딤돌대출,내집마련디딤돌대출 신혼부부전용 생애최초특례구입자금보증(HF),신혼집 구입비용이 고민인 신혼부부를 위한 신혼부부 전용 구입자금대출(HF의 생애최초특례구입자금보증을 가입하는 경우),2023-06-23,9999-12-31,Y
개인수요자대출,주택구입자금,내집마련디딤돌대출,전세사기피해자 전용 디딤돌대출,전세사기피해자 지원 및 주거안정에 관한 특별법상 전세사기피해자를 위한 저금리의 구입자금대출 상품,2023-06-29,9999-12-31,N
개인수요자대출,주택구입자금,내집마련디딤돌대출,전세사기피해자 전용 디딤돌대출 특례구입자금보증(HF),전세사기피해자 지원 및 주거안정에 관한 특별법상 전세사기피해자를 위한 저금리의 구입자금대출 상품(HF의 특례구입자금보증을 가입하는 경우),2024-04-30,9999-12-31,N
개인수요자대출,주택구입자금,내집마련디딤돌대출,신생아 특례 디딤돌 대출,신생아 출산 가구의 주거안정을 위한 저금리의 특례 구입자금대출 상품,2024-01-26,9999-12-31,Y
개인수요자대출,주택구입자금,내집마련디딤돌대출,신생아 특례 디딤돌 대출 일반구입자금보증(HF),신생아 출산 가구의 주거안정을 위한 저금리의 특례 구입자금대출 상품(HF의 일반구입자금보증을 가입하는 경우),2024-01-26,9999-12-31,Y
개인수요자대출,주택구입자금,내집마련디딤돌대출,신생아 특례 디딤돌 대출 생애최초특례구입자금보증(HF),신생아 출산 가구의 주거안정을 위한 저금리의 특례 구입자금대출 상품(HF의 생애최초특례구입자금보증을 가입하는 경우),2024-01-26,9999-12-31,Y
개인수요자대출,주택구입자금,내집마련디딤돌대출,청년 주택드림 디딤돌 대출 일반,청년 주택드림 통장으로 청약 당첨된 경우 청년의 주거사다리 지원을 위한 구입자금대출 상품,2025-04-10,9999-12-31,Y
개인수요자대출,주택구입자금,내집마련디딤돌대출,청년 주택드림 디딤돌 대출 유한책임,청년 주택드림 통장으로 청약 당첨된 경우 청년의 주거사다리 지원을 위한 구입자금대출 상품,2025-04-10,9999-12-31,Y
개인수요자대출,주택구입자금,내집마련디딤돌대출,청년 주택드림 디딤돌 대출 일반구입자금보증(HF),청년 주택드림 통장으로 청약 당첨된 경우 청년의 주거사다리 지원을 위한 구입자금대출 상품(HF의 일반구입자금보증을 가입하는 경우),2025-04-10,9999-12-31,Y
개인수요자대출,주택구입자금,내집마련디딤돌대출,청년 주택드림 디딤돌 대출 생애최초 특례구입자금보증(HF),청년 주택드림 통장으로 청약 당첨된 경우 청년의 주거사다리 지원을 위한 구입자금대출 상품(HF의 생애최초특례구입자금보증을 가입하는 경우),2025-04-10,9999-12-31,Y
개인수요자대출,주택구입자금,오피스텔구입자금,오피스텔구입자금,서민을 위한 주거용 오피스텔 구입자금대출 상품,2019-01-01,9999-12-31,Y
개인수요자대출,주택구입자금,손익공유형모기지,손익공유형모기지,"생애 최초로 주택을 구입하거나, 5년 이상 무주택이신 분이 주택 구입시 수익&위험을 공유하는 신개념 대출상품",2019-01-01,9999-12-31,N
개인수요자대출,주택구입자금,수익공유형모기지,수익공유형모기지,"생애 최초로 주택을 구입하거나, 5년 이상 무주택이신 분이 주택 구입시 수익을 공유하는 신개념 대출상품",2019-01-01,9999-12-31,N
개인수요자대출,주택구입자금,신혼희망타운 전용 주택담보장기대출,신혼희망타운 전용 주택담보장기대출,신혼희망타운 전용 주택담보장기대출,2021-06-08,9999-12-31,N
개인수요자대출,주택구입자금,주거안정주택구입자금,주거안정주택구입자금,대출이 과도한 주택 또는 현재 거주 중인 임차주택을 대상으로 한 구입자금대출 상품,2019-01-01,9999-12-31,N
개인수요자대출,주택전세자금,버팀목전세자금,버팀목전세자금,근로자 및 서민의 주거안정을 위한 전세자금대출 상품,2019-01-01,9999-12-31,Y
개인수요자대출,주택전세자금,버팀목전세자금,신혼부부전용 전세자금,신혼부부를 위한 신혼부부 전용 전세자금대출 상품,2019-01-01,9999-12-31,Y
개인수요자대출,주택전세자금,버팀목전세자금,청년전용 버팀목전세자금,만 34세 이하 청년을 위한 청년 전용 전세자금대출 상품,2019-01-01,9999-12-31,Y
